date,appos,count
2021-04-21,android,<20
2021-04-21,ios,<20
2021-04-22,android,<20
2021-04-22,ios,<20
2021-04-23,android,<20
2021-04-23,ios,<20
2021-04-24,android,<20
2021-04-24,ios,<20
2021-04-25,android,1800
2021-04-25,ios,<20
2021-04-26,android,276629
2021-04-26,ios,<20
2021-04-27,android,542401
2021-04-27,ios,<20
2021-04-28,android,579940
2021-04-28,ios,<20
2021-04-29,android,612500
2021-04-29,ios,<20
2021-04-30,android,626796
2021-04-30,ios,<20
2021-05-01,android,620206
2021-05-01,ios,<20
2021-05-02,android,627614
2021-05-02,ios,<20
2021-05-03,android,639275
2021-05-03,ios,<20
2021-05-04,android,635093
2021-05-04,ios,<20
2021-05-05,android,636582
2021-05-05,ios,<20
2021-05-06,android,639992
2021-05-06,ios,<20
2021-05-07,android,640712
2021-05-07,ios,<20
2021-05-08,android,632979
2021-05-08,ios,<20
2021-05-09,android,637387
2021-05-09,ios,<20
