date,appos,appversion,count
2021-02-25,android,1.2.0,2926
2021-02-25,android,1.2.1,108
2021-02-25,android,1.2.2,<20
2021-02-25,android,1.2.3,<20
2021-02-25,android,1.2.4,<20
2021-02-25,android,1.2.6,<20
2021-02-25,android,1.2.7,<20
2021-02-25,ios,1.2.0,4701
2021-02-25,ios,1.2.1,116
2021-02-25,ios,1.2.2,<20
2021-02-25,ios,1.2.3,<20
2021-02-25,ios,1.2.4,<20
2021-02-25,ios,1.2.6,<20
2021-02-25,ios,1.2.7,<20
2021-02-26,android,1.2.0,2865
2021-02-26,android,1.2.1,331
2021-02-26,android,1.2.2,<20
2021-02-26,android,1.2.3,<20
2021-02-26,android,1.2.4,<20
2021-02-26,android,1.2.5,<20
2021-02-26,android,1.2.6,<20
2021-02-26,android,1.2.7,<20
2021-02-26,ios,1.2.0,4165
2021-02-26,ios,1.2.1,730
2021-02-26,ios,1.2.2,<20
2021-02-26,ios,1.2.3,<20
2021-02-26,ios,1.2.4,<20
2021-02-27,android,1.2.0,984
2021-02-27,android,1.2.1,1863
2021-02-27,android,1.2.2,<20
2021-02-27,android,1.2.3,<20
2021-02-27,android,1.2.4,<20
2021-02-27,android,1.2.5,<20
2021-02-27,android,1.2.7,<20
2021-02-27,ios,1.2.0,1079
2021-02-27,ios,1.2.1,3620
2021-02-27,ios,1.2.2,<20
2021-02-27,ios,1.2.3,<20
2021-02-27,ios,1.2.4,<20
2021-02-27,ios,1.2.7,<20
2021-02-28,android,1.2.0,485
2021-02-28,android,1.2.1,2399
2021-02-28,android,1.2.2,<20
2021-02-28,android,1.2.3,<20
2021-02-28,android,1.2.4,<20
2021-02-28,android,1.2.6,<20
2021-02-28,android,1.2.7,<20
2021-02-28,ios,1.2.0,299
2021-02-28,ios,1.2.1,4354
2021-02-28,ios,1.2.2,<20
2021-02-28,ios,1.2.3,<20
2021-02-28,ios,1.2.4,<20
2021-03-01,android,1.2.0,302
2021-03-01,android,1.2.1,2580
2021-03-01,android,1.2.2,<20
2021-03-01,android,1.2.3,<20
2021-03-01,android,1.2.4,<20
2021-03-01,android,1.2.6,<20
2021-03-01,android,1.2.7,<20
2021-03-01,ios,1.2.0,143
2021-03-01,ios,1.2.1,4294
2021-03-01,ios,1.2.2,<20
2021-03-01,ios,1.2.3,<20
2021-03-01,ios,1.2.4,<20
2021-03-01,ios,1.2.7,<20
2021-03-02,android,1.2.0,173
2021-03-02,android,1.2.1,2385
2021-03-02,android,1.2.2,<20
2021-03-02,android,1.2.3,<20
2021-03-02,android,1.2.4,<20
2021-03-02,android,1.2.5,<20
2021-03-02,android,1.2.6,<20
2021-03-02,android,1.2.7,<20
2021-03-02,ios,1.2.0,153
2021-03-02,ios,1.2.1,4291
2021-03-02,ios,1.2.2,<20
