date,region,os-se,count-nombre
2021-02-25,AB,android,<20
2021-02-25,AB,ios,<20
2021-02-25,BC,android,<20
2021-02-25,BC,ios,<20
2021-02-25,MB,android,<20
2021-02-25,MB,ios,<20
2021-02-25,NB,android,<20
2021-02-25,NB,ios,<20
2021-02-25,NL,android,<20
2021-02-25,NL,ios,<20
2021-02-25,NT,android,<20
2021-02-25,NT,ios,<20
2021-02-25,NS,android,<20
2021-02-25,NS,ios,<20
2021-02-25,NU,android,<20
2021-02-25,NU,ios,<20
2021-02-25,ON,android,40
2021-02-25,ON,ios,84
2021-02-25,PE,android,<20
2021-02-25,PE,ios,<20
2021-02-25,QC,android,<20
2021-02-25,QC,ios,<20
2021-02-25,SK,android,<20
2021-02-25,SK,ios,<20
2021-02-25,YT,android,<20
2021-02-25,YT,ios,<20
2021-02-25,npts-ptso,android,<20
2021-02-25,npts-ptso,ios,<20
2021-02-26,AB,android,<20
2021-02-26,AB,ios,<20
2021-02-26,BC,android,<20
2021-02-26,BC,ios,<20
2021-02-26,MB,android,<20
2021-02-26,MB,ios,<20
2021-02-26,NB,android,<20
2021-02-26,NB,ios,<20
2021-02-26,NL,android,<20
2021-02-26,NL,ios,<20
2021-02-26,NT,android,<20
2021-02-26,NT,ios,<20
2021-02-26,NS,android,<20
2021-02-26,NS,ios,<20
2021-02-26,NU,android,<20
2021-02-26,NU,ios,<20
2021-02-26,ON,android,43
2021-02-26,ON,ios,74
2021-02-26,PE,android,<20
2021-02-26,PE,ios,<20
2021-02-26,QC,android,<20
2021-02-26,QC,ios,<20
2021-02-26,SK,android,<20
2021-02-26,SK,ios,<20
2021-02-26,YT,android,<20
2021-02-26,YT,ios,<20
2021-02-26,npts-ptso,android,<20
2021-02-26,npts-ptso,ios,<20
2021-02-27,AB,android,<20
2021-02-27,AB,ios,<20
2021-02-27,BC,android,<20
2021-02-27,BC,ios,<20
2021-02-27,MB,android,<20
2021-02-27,MB,ios,<20
2021-02-27,NB,android,<20
2021-02-27,NB,ios,<20
2021-02-27,NL,android,<20
2021-02-27,NL,ios,24
2021-02-27,NT,android,<20
2021-02-27,NT,ios,<20
2021-02-27,NS,android,<20
2021-02-27,NS,ios,<20
2021-02-27,NU,android,<20
2021-02-27,NU,ios,<20
2021-02-27,ON,android,42
2021-02-27,ON,ios,64
2021-02-27,PE,android,<20
2021-02-27,PE,ios,<20
2021-02-27,QC,android,<20
2021-02-27,QC,ios,<20
2021-02-27,SK,android,<20
2021-02-27,SK,ios,<20
2021-02-27,YT,android,<20
2021-02-27,YT,ios,<20
2021-02-27,npts-ptso,android,<20
2021-02-27,npts-ptso,ios,<20
2021-02-28,AB,android,<20
2021-02-28,AB,ios,<20
2021-02-28,BC,android,<20
2021-02-28,BC,ios,<20
2021-02-28,MB,android,<20
2021-02-28,MB,ios,<20
2021-02-28,NB,android,<20
2021-02-28,NB,ios,<20
2021-02-28,NL,android,<20
2021-02-28,NL,ios,<20
2021-02-28,NT,android,<20
2021-02-28,NT,ios,<20
2021-02-28,NS,android,<20
2021-02-28,NS,ios,<20
2021-02-28,NU,android,<20
2021-02-28,NU,ios,<20
2021-02-28,ON,android,34
2021-02-28,ON,ios,50
2021-02-28,PE,android,<20
2021-02-28,PE,ios,<20
2021-02-28,QC,android,<20
2021-02-28,QC,ios,<20
2021-02-28,SK,android,<20
2021-02-28,SK,ios,<20
2021-02-28,YT,android,<20
2021-02-28,YT,ios,<20
2021-02-28,npts-ptso,android,<20
2021-02-28,npts-ptso,ios,<20
2021-03-01,AB,android,<20
2021-03-01,AB,ios,<20
2021-03-01,BC,android,<20
2021-03-01,BC,ios,<20
2021-03-01,MB,android,<20
2021-03-01,MB,ios,<20
2021-03-01,NB,android,<20
2021-03-01,NB,ios,<20
2021-03-01,NL,android,<20
2021-03-01,NL,ios,<20
2021-03-01,NT,android,<20
2021-03-01,NT,ios,<20
2021-03-01,NS,android,<20
2021-03-01,NS,ios,<20
2021-03-01,NU,android,<20
2021-03-01,NU,ios,<20
2021-03-01,ON,android,42
2021-03-01,ON,ios,77
2021-03-01,PE,android,<20
2021-03-01,PE,ios,<20
2021-03-01,QC,android,<20
2021-03-01,QC,ios,<20
2021-03-01,SK,android,<20
2021-03-01,SK,ios,<20
2021-03-01,YT,android,<20
2021-03-01,YT,ios,<20
2021-03-01,npts-ptso,android,<20
2021-03-01,npts-ptso,ios,<20
2021-03-02,AB,android,<20
2021-03-02,AB,ios,<20
2021-03-02,BC,android,<20
2021-03-02,BC,ios,<20
2021-03-02,MB,android,<20
2021-03-02,MB,ios,<20
2021-03-02,NB,android,<20
2021-03-02,NB,ios,<20
2021-03-02,NL,android,<20
2021-03-02,NL,ios,<20
2021-03-02,NT,android,<20
2021-03-02,NT,ios,<20
2021-03-02,NS,android,<20
2021-03-02,NS,ios,<20
2021-03-02,NU,android,<20
2021-03-02,NU,ios,<20
2021-03-02,ON,android,50
2021-03-02,ON,ios,94
2021-03-02,PE,android,<20
2021-03-02,PE,ios,<20
2021-03-02,QC,android,<20
2021-03-02,QC,ios,<20
2021-03-02,SK,android,<20
2021-03-02,SK,ios,<20
2021-03-02,YT,android,<20
2021-03-02,YT,ios,<20
2021-03-02,npts-ptso,android,<20
2021-03-02,npts-ptso,ios,<20
2021-03-03,AB,android,<20
2021-03-03,AB,ios,<20
2021-03-03,BC,android,<20
2021-03-03,BC,ios,<20
2021-03-03,MB,android,<20
2021-03-03,MB,ios,<20
2021-03-03,NB,android,<20
2021-03-03,NB,ios,<20
2021-03-03,NL,android,<20
2021-03-03,NL,ios,<20
2021-03-03,NT,android,<20
2021-03-03,NT,ios,<20
2021-03-03,NS,android,<20
2021-03-03,NS,ios,<20
2021-03-03,NU,android,<20
2021-03-03,NU,ios,<20
2021-03-03,ON,android,58
2021-03-03,ON,ios,97
2021-03-03,PE,android,<20
2021-03-03,PE,ios,<20
2021-03-03,QC,android,<20
2021-03-03,QC,ios,<20
2021-03-03,SK,android,<20
2021-03-03,SK,ios,<20
2021-03-03,YT,android,<20
