date,exposure_status-etat_verification,count-nombre
2021-03-27,exposed-expose,<20
2021-03-27,monitoring-surveillance,<20
2021-03-28,exposed-expose,<20
2021-03-28,monitoring-surveillance,<20
2021-03-29,exposed-expose,<20
2021-03-29,monitoring-surveillance,<20
2021-03-30,exposed-expose,<20
2021-03-30,monitoring-surveillance,<20
2021-03-31,exposed-expose,<20
2021-03-31,monitoring-surveillance,<20
2021-04-01,exposed-expose,<20
2021-04-01,monitoring-surveillance,<20
2021-04-02,exposed-expose,<20
2021-04-02,monitoring-surveillance,<20
2021-04-03,exposed-expose,<20
2021-04-03,monitoring-surveillance,<20
2021-04-04,exposed-expose,<20
2021-04-04,monitoring-surveillance,<20
2021-04-05,exposed-expose,<20
2021-04-05,monitoring-surveillance,<20
2021-04-06,exposed-expose,<20
2021-04-06,monitoring-surveillance,<20
2021-04-07,exposed-expose,51
2021-04-07,monitoring-surveillance,<20
2021-04-08,exposed-expose,641
2021-04-08,monitoring-surveillance,146
2021-04-09,exposed-expose,988
2021-04-09,monitoring-surveillance,295
2021-04-10,exposed-expose,1073
2021-04-10,monitoring-surveillance,322
2021-04-11,exposed-expose,1101
2021-04-11,monitoring-surveillance,281
2021-04-12,exposed-expose,1108
2021-04-12,monitoring-surveillance,303
2021-04-13,exposed-expose,1171
2021-04-13,monitoring-surveillance,318
2021-04-14,exposed-expose,1228
2021-04-14,monitoring-surveillance,346
2021-04-15,exposed-expose,1168
2021-04-15,monitoring-surveillance,267
2021-04-16,exposed-expose,1290
2021-04-16,monitoring-surveillance,293
2021-04-17,exposed-expose,1125
2021-04-17,monitoring-surveillance,278
2021-04-18,exposed-expose,1249
2021-04-18,monitoring-surveillance,285
2021-04-19,exposed-expose,1123
2021-04-19,monitoring-surveillance,270
2021-04-20,exposed-expose,971
2021-04-20,monitoring-surveillance,262
2021-04-21,exposed-expose,1126
2021-04-21,monitoring-surveillance,274
2021-04-22,exposed-expose,1082
2021-04-22,monitoring-surveillance,254
2021-04-23,exposed-expose,1019
2021-04-23,monitoring-surveillance,279
2021-04-24,exposed-expose,916
2021-04-24,monitoring-surveillance,236
2021-04-25,exposed-expose,933
2021-04-25,monitoring-surveillance,225
2021-04-26,exposed-expose,1027
2021-04-26,monitoring-surveillance,246
2021-04-27,exposed-expose,1143
2021-04-27,monitoring-surveillance,228
2021-04-28,exposed-expose,1192
2021-04-28,monitoring-surveillance,240
2021-04-29,exposed-expose,1226
2021-04-29,monitoring-surveillance,243
2021-04-30,exposed-expose,1113
2021-04-30,monitoring-surveillance,214
2021-05-01,exposed-expose,1240
2021-05-01,monitoring-surveillance,239
2021-05-02,exposed-expose,1075
2021-05-02,monitoring-surveillance,211
2021-05-03,exposed-expose,1149
2021-05-03,monitoring-surveillance,202
2021-05-04,exposed-expose,983
2021-05-04,monitoring-surveillance,158
2021-05-05,exposed-expose,923
2021-05-05,monitoring-surveillance,174
2021-05-06,exposed-expose,920
2021-05-06,monitoring-surveillance,163
2021-05-07,exposed-expose,1002
2021-05-07,monitoring-surveillance,195
2021-05-08,exposed-expose,958
2021-05-08,monitoring-surveillance,175
2021-05-09,exposed-expose,874
2021-05-09,monitoring-surveillance,148
2021-05-10,exposed-expose,874
2021-05-10,monitoring-surveillance,145
2021-05-11,exposed-expose,951
2021-05-11,monitoring-surveillance,194
2021-05-12,exposed-expose,801
2021-05-12,monitoring-surveillance,138
2021-05-13,exposed-expose,1004
2021-05-13,monitoring-surveillance,199
2021-05-14,exposed-expose,892
2021-05-14,monitoring-surveillance,164
2021-05-15,exposed-expose,848
2021-05-15,monitoring-surveillance,157
2021-05-16,exposed-expose,640
2021-05-16,monitoring-surveillance,111
2021-05-17,exposed-expose,666
2021-05-17,monitoring-surveillance,127
2021-05-18,exposed-expose,699
2021-05-18,monitoring-surveillance,132
2021-05-19,exposed-expose,649
2021-05-19,monitoring-surveillance,113
2021-05-20,exposed-expose,602
2021-05-20,monitoring-surveillance,121
2021-05-21,exposed-expose,506
