date,framework_status-etat_cadre,notification_permission-permission_notif,count-nombre
2021-02-25,enabled-active,blocked-bloque,55
2021-02-25,enabled-active,granted-autorise,2881
2021-02-25,enabled-active,denied-refuse,<20
2021-02-25,disabled-desactive,blocked-bloque,20
2021-02-25,disabled-desactive,granted-autorise,1367
2021-02-25,disabled-desactive,denied-refuse,<20
2021-02-26,enabled-active,blocked-bloque,97
2021-02-26,enabled-active,granted-autorise,3924
2021-02-26,enabled-active,denied-refuse,<20
2021-02-26,disabled-desactive,blocked-bloque,41
2021-02-26,disabled-desactive,granted-autorise,1558
2021-02-26,disabled-desactive,denied-refuse,<20
2021-02-27,enabled-active,blocked-bloque,100
2021-02-27,enabled-active,granted-autorise,4244
2021-02-27,enabled-active,denied-refuse,<20
2021-02-27,disabled-desactive,blocked-bloque,88
2021-02-27,disabled-desactive,granted-autorise,1800
2021-02-27,disabled-desactive,denied-refuse,<20
2021-02-28,enabled-active,blocked-bloque,93
2021-02-28,enabled-active,granted-autorise,4313
2021-02-28,enabled-active,denied-refuse,<20
2021-02-28,disabled-desactive,blocked-bloque,101
2021-02-28,disabled-desactive,granted-autorise,1468
2021-02-28,disabled-desactive,denied-refuse,<20
2021-03-01,enabled-active,blocked-bloque,102
2021-03-01,enabled-active,granted-autorise,4340
2021-03-01,enabled-active,denied-refuse,<20
2021-03-01,disabled-desactive,blocked-bloque,106
2021-03-01,disabled-desactive,granted-autorise,1211
2021-03-01,disabled-desactive,denied-refuse,<20
2021-03-02,enabled-active,blocked-bloque,78
2021-03-02,enabled-active,granted-autorise,4000
2021-03-02,enabled-active,denied-refuse,<20
2021-03-02,disabled-desactive,blocked-bloque,104
2021-03-02,disabled-desactive,granted-autorise,1023
2021-03-02,disabled-desactive,denied-refuse,<20
2021-03-03,enabled-active,blocked-bloque,86
2021-03-03,enabled-active,granted-autorise,3766
2021-03-03,enabled-active,denied-refuse,<20
2021-03-03,disabled-desactive,blocked-bloque,85
2021-03-03,disabled-desactive,granted-autorise,925
2021-03-03,disabled-desactive,denied-refuse,<20
2021-03-04,enabled-active,blocked-bloque,82
2021-03-04,enabled-active,granted-autorise,3885
2021-03-04,enabled-active,denied-refuse,<20
2021-03-04,disabled-desactive,blocked-bloque,99
2021-03-04,disabled-desactive,granted-autorise,983
2021-03-04,disabled-desactive,denied-refuse,<20
2021-03-05,enabled-active,blocked-bloque,99
2021-03-05,enabled-active,granted-autorise,4388
2021-03-05,enabled-active,denied-refuse,<20
2021-03-05,disabled-desactive,blocked-bloque,113
2021-03-05,disabled-desactive,granted-autorise,1005
2021-03-05,disabled-desactive,denied-refuse,<20
2021-03-06,enabled-active,blocked-bloque,109
2021-03-06,enabled-active,granted-autorise,3826
2021-03-06,enabled-active,denied-refuse,<20
2021-03-06,disabled-desactive,blocked-bloque,75
2021-03-06,disabled-desactive,granted-autorise,872
2021-03-06,disabled-desactive,denied-refuse,<20
2021-03-07,enabled-active,blocked-bloque,89
2021-03-07,enabled-active,granted-autorise,3660
2021-03-07,enabled-active,denied-refuse,<20
2021-03-07,disabled-desactive,blocked-bloque,89
2021-03-07,disabled-desactive,granted-autorise,754
2021-03-07,disabled-desactive,denied-refuse,<20
2021-03-08,enabled-active,blocked-bloque,84
2021-03-08,enabled-active,granted-autorise,3675
2021-03-08,enabled-active,denied-refuse,<20
2021-03-08,disabled-desactive,blocked-bloque,76
2021-03-08,disabled-desactive,granted-autorise,754
2021-03-08,disabled-desactive,denied-refuse,<20
2021-03-09,enabled-active,blocked-bloque,71
2021-03-09,enabled-active,granted-autorise,3620
2021-03-09,enabled-active,denied-refuse,<20
2021-03-09,disabled-desactive,blocked-bloque,87
2021-03-09,disabled-desactive,granted-autorise,768
2021-03-09,disabled-desactive,denied-refuse,<20
2021-03-10,enabled-active,blocked-bloque,83
2021-03-10,enabled-active,granted-autorise,3681
2021-03-10,enabled-active,denied-refuse,<20
2021-03-10,disabled-desactive,blocked-bloque,90
2021-03-10,disabled-desactive,granted-autorise,699
2021-03-10,disabled-desactive,denied-refuse,<20
2021-03-11,enabled-active,blocked-bloque,94
2021-03-11,enabled-active,granted-autorise,3654
2021-03-11,enabled-active,denied-refuse,<20
2021-03-11,disabled-desactive,blocked-bloque,84
2021-03-11,disabled-desactive,granted-autorise,688
2021-03-11,disabled-desactive,denied-refuse,<20
2021-03-12,enabled-active,blocked-bloque,89
2021-03-12,enabled-active,granted-autorise,3915
2021-03-12,enabled-active,denied-refuse,<20
2021-03-12,disabled-desactive,blocked-bloque,84
2021-03-12,disabled-desactive,granted-autorise,759
2021-03-12,disabled-desactive,denied-refuse,<20
2021-03-13,enabled-active,blocked-bloque,72
2021-03-13,enabled-active,granted-autorise,3773
2021-03-13,enabled-active,denied-refuse,<20
2021-03-13,disabled-desactive,blocked-bloque,78
2021-03-13,disabled-desactive,granted-autorise,817
2021-03-13,disabled-desactive,denied-refuse,<20
2021-03-14,enabled-active,blocked-bloque,66
2021-03-14,enabled-active,granted-autorise,3767
2021-03-14,enabled-active,denied-refuse,<20
2021-03-14,disabled-desactive,blocked-bloque,80
2021-03-14,disabled-desactive,granted-autorise,814
2021-03-14,disabled-desactive,denied-refuse,<20
2021-03-15,enabled-active,blocked-bloque,60
2021-03-15,enabled-active,granted-autorise,3841
2021-03-15,enabled-active,denied-refuse,<20
2021-03-15,disabled-desactive,blocked-bloque,67
2021-03-15,disabled-desactive,granted-autorise,786
2021-03-15,disabled-desactive,denied-refuse,<20
2021-03-16,enabled-active,blocked-bloque,90
2021-03-16,enabled-active,granted-autorise,3886
2021-03-16,enabled-active,denied-refuse,<20
2021-03-16,disabled-desactive,blocked-bloque,99
2021-03-16,disabled-desactive,granted-autorise,786
2021-03-16,disabled-desactive,denied-refuse,<20
2021-03-17,enabled-active,blocked-bloque,124
2021-03-17,enabled-active,granted-autorise,4852
2021-03-17,enabled-active,denied-refuse,<20
2021-03-17,disabled-desactive,blocked-bloque,98
2021-03-17,disabled-desactive,granted-autorise,903
2021-03-17,disabled-desactive,denied-refuse,<20
2021-03-18,enabled-active,blocked-bloque,89
2021-03-18,enabled-active,granted-autorise,4539
2021-03-18,enabled-active,denied-refuse,<20
2021-03-18,disabled-desactive,blocked-bloque,106
2021-03-18,disabled-desactive,granted-autorise,904
2021-03-18,disabled-desactive,denied-refuse,<20
2021-03-19,enabled-active,blocked-bloque,78
2021-03-19,enabled-active,granted-autorise,3964
2021-03-19,enabled-active,denied-refuse,<20
2021-03-19,disabled-desactive,blocked-bloque,79
2021-03-19,disabled-desactive,granted-autorise,781
2021-03-19,disabled-desactive,denied-refuse,<20
2021-03-20,enabled-active,blocked-bloque,80
2021-03-20,enabled-active,granted-autorise,3978
2021-03-20,enabled-active,denied-refuse,<20
2021-03-20,disabled-desactive,blocked-bloque,63
2021-03-20,disabled-desactive,granted-autorise,758
2021-03-20,disabled-desactive,denied-refuse,<20
2021-03-21,enabled-active,blocked-bloque,85
