date,region,exposure_status-etat_verification,count-nombre
2021-03-27,AB,exposed-expose,<20
2021-03-27,AB,monitoring-surveillance,<20
2021-03-27,BC,exposed-expose,<20
2021-03-27,BC,monitoring-surveillance,<20
2021-03-27,MB,exposed-expose,<20
2021-03-27,MB,monitoring-surveillance,<20
2021-03-27,NB,exposed-expose,<20
2021-03-27,NB,monitoring-surveillance,<20
2021-03-27,NL,exposed-expose,<20
2021-03-27,NL,monitoring-surveillance,<20
2021-03-27,NT,exposed-expose,<20
2021-03-27,NT,monitoring-surveillance,<20
2021-03-27,NS,exposed-expose,<20
2021-03-27,NS,monitoring-surveillance,<20
2021-03-27,NU,exposed-expose,<20
2021-03-27,NU,monitoring-surveillance,<20
2021-03-27,ON,exposed-expose,<20
2021-03-27,ON,monitoring-surveillance,<20
2021-03-27,PE,exposed-expose,<20
2021-03-27,PE,monitoring-surveillance,<20
2021-03-27,QC,exposed-expose,<20
2021-03-27,QC,monitoring-surveillance,<20
2021-03-27,SK,exposed-expose,<20
2021-03-27,SK,monitoring-surveillance,<20
2021-03-27,YT,exposed-expose,<20
2021-03-27,YT,monitoring-surveillance,<20
2021-03-27,npts-ptso,exposed-expose,<20
2021-03-27,npts-ptso,monitoring-surveillance,<20
2021-03-28,AB,exposed-expose,<20
2021-03-28,AB,monitoring-surveillance,<20
2021-03-28,BC,exposed-expose,<20
2021-03-28,BC,monitoring-surveillance,<20
2021-03-28,MB,exposed-expose,<20
2021-03-28,MB,monitoring-surveillance,<20
2021-03-28,NB,exposed-expose,<20
2021-03-28,NB,monitoring-surveillance,<20
2021-03-28,NL,exposed-expose,<20
2021-03-28,NL,monitoring-surveillance,<20
2021-03-28,NT,exposed-expose,<20
2021-03-28,NT,monitoring-surveillance,<20
2021-03-28,NS,exposed-expose,<20
2021-03-28,NS,monitoring-surveillance,<20
2021-03-28,NU,exposed-expose,<20
2021-03-28,NU,monitoring-surveillance,<20
2021-03-28,ON,exposed-expose,<20
2021-03-28,ON,monitoring-surveillance,<20
2021-03-28,PE,exposed-expose,<20
2021-03-28,PE,monitoring-surveillance,<20
2021-03-28,QC,exposed-expose,<20
2021-03-28,QC,monitoring-surveillance,<20
2021-03-28,SK,exposed-expose,<20
2021-03-28,SK,monitoring-surveillance,<20
2021-03-28,YT,exposed-expose,<20
2021-03-28,YT,monitoring-surveillance,<20
2021-03-28,npts-ptso,exposed-expose,<20
2021-03-28,npts-ptso,monitoring-surveillance,<20
2021-03-29,AB,exposed-expose,<20
2021-03-29,AB,monitoring-surveillance,<20
2021-03-29,BC,exposed-expose,<20
2021-03-29,BC,monitoring-surveillance,<20
2021-03-29,MB,exposed-expose,<20
2021-03-29,MB,monitoring-surveillance,<20
2021-03-29,NB,exposed-expose,<20
2021-03-29,NB,monitoring-surveillance,<20
2021-03-29,NL,exposed-expose,<20
2021-03-29,NL,monitoring-surveillance,<20
2021-03-29,NT,exposed-expose,<20
2021-03-29,NT,monitoring-surveillance,<20
2021-03-29,NS,exposed-expose,<20
2021-03-29,NS,monitoring-surveillance,<20
2021-03-29,NU,exposed-expose,<20
2021-03-29,NU,monitoring-surveillance,<20
2021-03-29,ON,exposed-expose,<20
2021-03-29,ON,monitoring-surveillance,<20
2021-03-29,PE,exposed-expose,<20
2021-03-29,PE,monitoring-surveillance,<20
2021-03-29,QC,exposed-expose,<20
2021-03-29,QC,monitoring-surveillance,<20
2021-03-29,SK,exposed-expose,<20
2021-03-29,SK,monitoring-surveillance,<20
2021-03-29,YT,exposed-expose,<20
2021-03-29,YT,monitoring-surveillance,<20
2021-03-29,npts-ptso,exposed-expose,<20
