date,region,count
2021-02-24,AB,<20
2021-02-24,BC,<20
2021-02-24,MB,<20
2021-02-24,NB,<20
2021-02-24,NL,<20
2021-02-24,NT,<20
2021-02-24,NS,<20
2021-02-24,NU,<20
2021-02-24,ON,<20
2021-02-24,PE,<20
2021-02-24,QC,<20
2021-02-24,SK,<20
2021-02-24,YT,<20
2021-02-24,NPTS,<20
2021-02-25,AB,<20
2021-02-25,BC,<20
2021-02-25,MB,<20
2021-02-25,NB,<20
2021-02-25,NL,<20
2021-02-25,NT,<20
2021-02-25,NS,<20
2021-02-25,NU,<20
2021-02-25,ON,<20
2021-02-25,PE,<20
2021-02-25,QC,<20
2021-02-25,SK,<20
2021-02-25,YT,<20
2021-02-25,NPTS,<20
2021-02-26,AB,649
2021-02-26,BC,1193
2021-02-26,MB,587
2021-02-26,NB,281
2021-02-26,NL,277
2021-02-26,NT,<20
2021-02-26,NS,490
2021-02-26,NU,<20
2021-02-26,ON,7291
2021-02-26,PE,76
2021-02-26,QC,3140
2021-02-26,SK,330
2021-02-26,YT,<20
2021-02-26,NPTS,1077
2021-02-27,AB,50308
2021-02-27,BC,101811
2021-02-27,MB,65113
2021-02-27,NB,39198
2021-02-27,NL,58478
2021-02-27,NT,1194
2021-02-27,NS,56295
2021-02-27,NU,277
2021-02-27,ON,691354
2021-02-27,PE,8869
2021-02-27,QC,336451
2021-02-27,SK,40339
2021-02-27,YT,527
2021-02-27,NPTS,112436
2021-02-28,AB,74523
2021-02-28,BC,150130
2021-02-28,MB,101054
2021-02-28,NB,64245
2021-02-28,NL,97458
2021-02-28,NT,1906
2021-02-28,NS,92165
2021-02-28,NU,481
2021-02-28,ON,1113294
2021-02-28,PE,15278
2021-02-28,QC,545688
2021-02-28,SK,61753
2021-02-28,YT,829
2021-02-28,NPTS,176168
2021-03-01,AB,81426
2021-03-01,BC,163958
2021-03-01,MB,111628
2021-03-01,NB,71713
2021-03-01,NL,108852
2021-03-01,NT,2145
2021-03-01,NS,103133
2021-03-01,NU,559
2021-03-01,ON,1241240
2021-03-01,PE,17821
2021-03-01,QC,613501
2021-03-01,SK,68034
2021-03-01,YT,953
2021-03-01,NPTS,195906
2021-03-02,AB,83393
2021-03-02,BC,167980
2021-03-02,MB,114767
2021-03-02,NB,74169
2021-03-02,NL,111958
2021-03-02,NT,2220
2021-03-02,NS,106719
2021-03-02,NU,571
2021-03-02,ON,1280500
2021-03-02,PE,18823
2021-03-02,QC,635534
2021-03-02,SK,70075
2021-03-02,YT,998
2021-03-02,NPTS,202136
2021-03-03,AB,84713
2021-03-03,BC,170606
2021-03-03,MB,116824
2021-03-03,NB,75656
2021-03-03,NL,114032
2021-03-03,NT,2269
2021-03-03,NS,108823
2021-03-03,NU,585
2021-03-03,ON,1306465
2021-03-03,PE,19255
2021-03-03,QC,649382
2021-03-03,SK,71294
2021-03-03,YT,1013
2021-03-03,NPTS,207168
2021-03-04,AB,85424
2021-03-04,BC,172136
2021-03-04,MB,118129
2021-03-04,NB,76850
2021-03-04,NL,115270
2021-03-04,NT,2289
2021-03-04,NS,109792
2021-03-04,NU,591
2021-03-04,ON,1322147
2021-03-04,PE,19317
2021-03-04,QC,657578
2021-03-04,SK,72122
2021-03-04,YT,1036
2021-03-04,NPTS,210762
2021-03-05,AB,85909
2021-03-05,BC,173396
2021-03-05,MB,119099
2021-03-05,NB,77429
2021-03-05,NL,115839
2021-03-05,NT,2313
2021-03-05,NS,110488
2021-03-05,NU,585
2021-03-05,ON,1332379
2021-03-05,PE,19418
2021-03-05,QC,662788
2021-03-05,SK,72572
2021-03-05,YT,1041
2021-03-05,NPTS,214882
2021-03-06,AB,86312
2021-03-06,BC,174006
2021-03-06,MB,119621
2021-03-06,NB,77904
2021-03-06,NL,116234
2021-03-06,NT,2345
2021-03-06,NS,111038
2021-03-06,NU,606
2021-03-06,ON,1339815
2021-03-06,PE,19380
2021-03-06,QC,666658
2021-03-06,SK,73032
2021-03-06,YT,1042
2021-03-06,NPTS,219115
2021-03-07,AB,86489
2021-03-07,BC,174506
2021-03-07,MB,120487
2021-03-07,NB,78402
2021-03-07,NL,116954
2021-03-07,NT,2345
2021-03-07,NS,111655
2021-03-07,NU,606
2021-03-07,ON,1349139
2021-03-07,PE,19433
2021-03-07,QC,669945
2021-03-07,SK,73375
2021-03-07,YT,1045
2021-03-07,NPTS,219525
2021-03-08,AB,86861
2021-03-08,BC,175234
2021-03-08,MB,121373
2021-03-08,NB,79021
2021-03-08,NL,117580
2021-03-08,NT,2358
2021-03-08,NS,112461
2021-03-08,NU,615
2021-03-08,ON,1361169
2021-03-08,PE,19548
2021-03-08,QC,675849
2021-03-08,SK,73757
2021-03-08,YT,1046
2021-03-08,NPTS,221146
2021-03-09,AB,87293
2021-03-09,BC,175865
2021-03-09,MB,121828
2021-03-09,NB,79416
2021-03-09,NL,118005
2021-03-09,NT,2379
2021-03-09,NS,113023
2021-03-09,NU,617
2021-03-09,ON,1368614
2021-03-09,PE,19706
2021-03-09,QC,679374
2021-03-09,SK,74228
2021-03-09,YT,1058
2021-03-09,NPTS,222794
2021-03-10,AB,87438
2021-03-10,BC,176557
2021-03-10,MB,122198
2021-03-10,NB,79649
2021-03-10,NL,118399
2021-03-10,NT,2405
2021-03-10,NS,113191
2021-03-10,NU,619
2021-03-10,ON,1374552
2021-03-10,PE,19723
2021-03-10,QC,683642
2021-03-10,SK,74446
2021-03-10,YT,1064
2021-03-10,NPTS,224709
2021-03-11,AB,87600
2021-03-11,BC,176784
2021-03-11,MB,122496
2021-03-11,NB,79810
2021-03-11,NL,118686
2021-03-11,NT,2407
2021-03-11,NS,113465
2021-03-11,NU,619
2021-03-11,ON,1378369
2021-03-11,PE,19753
