date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-02-25,1-6,android,1.2.0,806
2021-02-25,1-6,android,1.2.1,1357
2021-02-25,1-6,android,1.2.2,2667
2021-02-25,1-6,android,1.2.3,991
2021-02-25,1-6,android,1.2.4,327
2021-02-25,1-6,android,1.2.5,47
2021-02-25,1-6,android,1.2.6,114
2021-02-25,1-6,android,1.2.7,157
2021-02-25,1-6,android,1.2.8,175
2021-02-25,1-6,android,1.2.9,228
2021-02-25,1-6,android,1.4.2,<20
2021-02-25,1-6,android,1.4.3,27
2021-02-25,1-6,android,1.4.4,<20
2021-02-25,1-6,android,1.4.5,<20
2021-02-25,1-6,android,1.4.6,<20
2021-02-25,1-6,ios,1.2.0,454
2021-02-25,1-6,ios,1.2.1,42
2021-02-25,1-6,ios,1.2.2,64
2021-02-25,1-6,ios,1.2.3,62
2021-02-25,1-6,ios,1.2.4,37
2021-02-25,1-6,ios,1.2.6,<20
2021-02-25,1-6,ios,1.2.7,<20
2021-02-25,1-6,ios,1.2.8,32
2021-02-25,1-6,ios,1.4.0,<20
2021-02-25,1-6,ios,1.4.1,<20
2021-02-25,1-6,ios,1.4.4,<20
2021-02-25,1-6,ios,1.4.5,<20
2021-02-25,13-30,android,1.2.0,<20
2021-02-25,13-30,android,1.2.1,<20
2021-02-25,13-30,android,1.2.2,<20
2021-02-25,13-30,android,1.2.3,<20
2021-02-25,13-30,android,1.2.4,<20
2021-02-25,13-30,android,1.2.7,<20
2021-02-25,13-30,android,1.2.8,<20
2021-02-25,13-30,android,1.2.9,<20
2021-02-25,13-30,ios,1.2.0,<20
2021-02-25,7-12,android,1.2.0,104
2021-02-25,7-12,android,1.2.1,126
2021-02-25,7-12,android,1.2.2,205
2021-02-25,7-12,android,1.2.3,103
2021-02-25,7-12,android,1.2.4,30
2021-02-25,7-12,android,1.2.5,<20
2021-02-25,7-12,android,1.2.6,<20
2021-02-25,7-12,android,1.2.7,<20
2021-02-25,7-12,android,1.2.8,21
2021-02-25,7-12,android,1.2.9,24
2021-02-25,7-12,android,1.4.2,<20
2021-02-25,7-12,android,1.4.3,<20
2021-02-25,7-12,android,1.4.4,<20
2021-02-25,7-12,ios,1.2.0,115
2021-02-25,7-12,ios,1.2.1,<20
2021-02-25,7-12,ios,1.2.2,29
2021-02-25,7-12,ios,1.2.3,27
2021-02-25,7-12,ios,1.2.4,<20
2021-02-25,7-12,ios,1.2.6,<20
2021-02-25,7-12,ios,1.2.7,<20
2021-02-25,7-12,ios,1.2.8,<20
2021-02-25,7-12,ios,1.2.9,<20
2021-02-25,7-12,ios,1.4.0,<20
2021-02-25,7-12,ios,1.4.1,<20
2021-02-25,7-12,ios,1.4.4,<20
2021-02-25,7-12,ios,1.4.5,<20
2021-02-25,7-12,ios,1.4.6,<20
2021-02-26,1-6,android,1.2.0,901
2021-02-26,1-6,android,1.2.1,1665
2021-02-26,1-6,android,1.2.2,2951
2021-02-26,1-6,android,1.2.3,1055
2021-02-26,1-6,android,1.2.4,360
2021-02-26,1-6,android,1.2.5,66
2021-02-26,1-6,android,1.2.6,114
2021-02-26,1-6,android,1.2.7,179
2021-02-26,1-6,android,1.2.8,188
2021-02-26,1-6,android,1.2.9,202
2021-02-26,1-6,android,1.4.2,<20
2021-02-26,1-6,android,1.4.3,31
2021-02-26,1-6,android,1.4.4,<20
2021-02-26,1-6,android,1.4.5,<20
2021-02-26,1-6,android,1.4.6,<20
2021-02-26,1-6,ios,1.2.0,564
2021-02-26,1-6,ios,1.2.1,53
2021-02-26,1-6,ios,1.2.2,88
2021-02-26,1-6,ios,1.2.3,81
2021-02-26,1-6,ios,1.2.4,44
2021-02-26,1-6,ios,1.2.6,<20
2021-02-26,1-6,ios,1.2.7,22
2021-02-26,1-6,ios,1.2.8,24
2021-02-26,1-6,ios,1.4.0,<20
2021-02-26,1-6,ios,1.4.1,<20
2021-02-26,1-6,ios,1.4.4,<20
2021-02-26,1-6,ios,1.4.5,<20
2021-02-26,1-6,ios,1.4.6,<20
2021-02-26,13-30,android,1.2.0,<20
2021-02-26,13-30,android,1.2.1,<20
2021-02-26,13-30,android,1.2.2,<20
2021-02-26,13-30,android,1.2.3,<20
