date,region,appos,count
2021-03-30,AB,android,<20
2021-03-30,AB,ios,<20
2021-03-30,BC,android,<20
2021-03-30,BC,ios,<20
2021-03-30,MB,android,<20
2021-03-30,MB,ios,<20
2021-03-30,NB,android,<20
2021-03-30,NB,ios,<20
2021-03-30,NL,android,<20
2021-03-30,NL,ios,<20
2021-03-30,NT,android,<20
2021-03-30,NT,ios,<20
2021-03-30,NS,android,<20
2021-03-30,NS,ios,<20
2021-03-30,NU,android,<20
2021-03-30,NU,ios,<20
2021-03-30,ON,android,<20
2021-03-30,ON,ios,<20
2021-03-30,PE,android,<20
2021-03-30,PE,ios,<20
2021-03-30,QC,android,<20
2021-03-30,QC,ios,<20
2021-03-30,SK,android,<20
2021-03-30,SK,ios,<20
2021-03-30,YT,android,<20
2021-03-30,YT,ios,<20
2021-03-30,NPTS,android,<20
2021-03-30,NPTS,ios,<20
2021-03-31,AB,android,<20
2021-03-31,AB,ios,<20
2021-03-31,BC,android,<20
2021-03-31,BC,ios,<20
2021-03-31,MB,android,<20
2021-03-31,MB,ios,<20
2021-03-31,NB,android,<20
2021-03-31,NB,ios,<20
2021-03-31,NL,android,<20
2021-03-31,NL,ios,<20
2021-03-31,NT,android,<20
2021-03-31,NT,ios,<20
2021-03-31,NS,android,<20
2021-03-31,NS,ios,<20
2021-03-31,NU,android,<20
2021-03-31,NU,ios,<20
2021-03-31,ON,android,<20
2021-03-31,ON,ios,<20
2021-03-31,PE,android,<20
2021-03-31,PE,ios,<20
2021-03-31,QC,android,<20
2021-03-31,QC,ios,<20
2021-03-31,SK,android,<20
2021-03-31,SK,ios,<20
2021-03-31,YT,android,<20
2021-03-31,YT,ios,<20
2021-03-31,NPTS,android,<20
2021-03-31,NPTS,ios,<20
2021-04-01,AB,android,<20
2021-04-01,AB,ios,<20
2021-04-01,BC,android,<20
2021-04-01,BC,ios,<20
2021-04-01,MB,android,<20
2021-04-01,MB,ios,<20
2021-04-01,NB,android,<20
2021-04-01,NB,ios,<20
2021-04-01,NL,android,<20
2021-04-01,NL,ios,<20
2021-04-01,NT,android,<20
2021-04-01,NT,ios,<20
2021-04-01,NS,android,<20
2021-04-01,NS,ios,<20
2021-04-01,NU,android,<20
2021-04-01,NU,ios,<20
