date,exposure_status-etat_verification,count-nombre
2021-03-28,exposed-expose,<20
2021-03-28,monitoring-surveillance,<20
2021-03-29,exposed-expose,<20
2021-03-29,monitoring-surveillance,<20
2021-03-30,exposed-expose,<20
2021-03-30,monitoring-surveillance,<20
2021-03-31,exposed-expose,<20
2021-03-31,monitoring-surveillance,<20
2021-04-01,exposed-expose,<20
2021-04-01,monitoring-surveillance,<20
2021-04-02,exposed-expose,<20
2021-04-02,monitoring-surveillance,<20
2021-04-03,exposed-expose,<20
2021-04-03,monitoring-surveillance,<20
2021-04-04,exposed-expose,<20
2021-04-04,monitoring-surveillance,<20
2021-04-05,exposed-expose,<20
2021-04-05,monitoring-surveillance,<20
2021-04-06,exposed-expose,<20
2021-04-06,monitoring-surveillance,<20
2021-04-07,exposed-expose,<20
2021-04-07,monitoring-surveillance,103
2021-04-08,exposed-expose,36
2021-04-08,monitoring-surveillance,338
2021-04-09,exposed-expose,<20
2021-04-09,monitoring-surveillance,247
2021-04-10,exposed-expose,37
2021-04-10,monitoring-surveillance,212
2021-04-11,exposed-expose,21
2021-04-11,monitoring-surveillance,211
2021-04-12,exposed-expose,<20
2021-04-12,monitoring-surveillance,204
2021-04-13,exposed-expose,28
2021-04-13,monitoring-surveillance,215
2021-04-14,exposed-expose,<20
2021-04-14,monitoring-surveillance,215
2021-04-15,exposed-expose,<20
2021-04-15,monitoring-surveillance,199
2021-04-16,exposed-expose,<20
2021-04-16,monitoring-surveillance,170
2021-04-17,exposed-expose,<20
2021-04-17,monitoring-surveillance,186
2021-04-18,exposed-expose,27
2021-04-18,monitoring-surveillance,168
2021-04-19,exposed-expose,<20
2021-04-19,monitoring-surveillance,154
2021-04-20,exposed-expose,<20
2021-04-20,monitoring-surveillance,159
2021-04-21,exposed-expose,<20
2021-04-21,monitoring-surveillance,174
2021-04-22,exposed-expose,<20
2021-04-22,monitoring-surveillance,184
2021-04-23,exposed-expose,<20
2021-04-23,monitoring-surveillance,172
2021-04-24,exposed-expose,<20
2021-04-24,monitoring-surveillance,176
2021-04-25,exposed-expose,<20
2021-04-25,monitoring-surveillance,136
2021-04-26,exposed-expose,<20
2021-04-26,monitoring-surveillance,135
2021-04-27,exposed-expose,<20
2021-04-27,monitoring-surveillance,141
2021-04-28,exposed-expose,<20
2021-04-28,monitoring-surveillance,145
2021-04-29,exposed-expose,<20
2021-04-29,monitoring-surveillance,141
2021-04-30,exposed-expose,<20
2021-04-30,monitoring-surveillance,129
2021-05-01,exposed-expose,<20
2021-05-01,monitoring-surveillance,151
2021-05-02,exposed-expose,<20
2021-05-02,monitoring-surveillance,119
2021-05-03,exposed-expose,<20
2021-05-03,monitoring-surveillance,103
2021-05-04,exposed-expose,<20
2021-05-04,monitoring-surveillance,92
2021-05-05,exposed-expose,<20
2021-05-05,monitoring-surveillance,131
2021-05-06,exposed-expose,<20
2021-05-06,monitoring-surveillance,119
2021-05-07,exposed-expose,<20
2021-05-07,monitoring-surveillance,125
2021-05-08,exposed-expose,<20
2021-05-08,monitoring-surveillance,113
2021-05-09,exposed-expose,<20
2021-05-09,monitoring-surveillance,113
2021-05-10,exposed-expose,<20
2021-05-10,monitoring-surveillance,93
2021-05-11,exposed-expose,<20
2021-05-11,monitoring-surveillance,103
2021-05-12,exposed-expose,<20
2021-05-12,monitoring-surveillance,100
2021-05-13,exposed-expose,<20
2021-05-13,monitoring-surveillance,117
2021-05-14,exposed-expose,<20
2021-05-14,monitoring-surveillance,97
2021-05-15,exposed-expose,<20
2021-05-15,monitoring-surveillance,89
2021-05-16,exposed-expose,<20
2021-05-16,monitoring-surveillance,56
2021-05-17,exposed-expose,<20
2021-05-17,monitoring-surveillance,80
2021-05-18,exposed-expose,<20
2021-05-18,monitoring-surveillance,79
2021-05-19,exposed-expose,<20
2021-05-19,monitoring-surveillance,91
2021-05-20,exposed-expose,<20
2021-05-20,monitoring-surveillance,62
2021-05-21,exposed-expose,<20
2021-05-21,monitoring-surveillance,64
2021-05-22,exposed-expose,<20
2021-05-22,monitoring-surveillance,76
2021-05-23,exposed-expose,<20
2021-05-23,monitoring-surveillance,78
2021-05-24,exposed-expose,<20
2021-05-24,monitoring-surveillance,61
2021-05-25,exposed-expose,<20
2021-05-25,monitoring-surveillance,43
2021-05-26,exposed-expose,<20
2021-05-26,monitoring-surveillance,51
2021-05-27,exposed-expose,<20
2021-05-27,monitoring-surveillance,49
2021-05-28,exposed-expose,<20
2021-05-28,monitoring-surveillance,41
2021-05-29,exposed-expose,<20
2021-05-29,monitoring-surveillance,42
2021-05-30,exposed-expose,<20
2021-05-30,monitoring-surveillance,28
2021-05-31,exposed-expose,<20
2021-05-31,monitoring-surveillance,33
2021-06-01,exposed-expose,<20
2021-06-01,monitoring-surveillance,44
2021-06-02,exposed-expose,<20
2021-06-02,monitoring-surveillance,24
2021-06-03,exposed-expose,<20
2021-06-03,monitoring-surveillance,28
2021-06-04,exposed-expose,<20
2021-06-04,monitoring-surveillance,22
2021-06-05,exposed-expose,<20
2021-06-05,monitoring-surveillance,<20
2021-06-06,exposed-expose,<20
2021-06-06,monitoring-surveillance,22
2021-06-07,exposed-expose,<20
2021-06-07,monitoring-surveillance,<20
2021-06-08,exposed-expose,<20
2021-06-08,monitoring-surveillance,25
2021-06-09,exposed-expose,<20
2021-06-09,monitoring-surveillance,28
2021-06-10,exposed-expose,<20
2021-06-10,monitoring-surveillance,25
2021-06-11,exposed-expose,<20
2021-06-11,monitoring-surveillance,<20
2021-06-12,exposed-expose,<20
2021-06-12,monitoring-surveillance,<20
2021-06-13,exposed-expose,<20
2021-06-13,monitoring-surveillance,<20
2021-06-14,exposed-expose,<20
2021-06-14,monitoring-surveillance,<20
2021-06-15,exposed-expose,<20
2021-06-15,monitoring-surveillance,<20
2021-06-16,exposed-expose,<20
2021-06-16,monitoring-surveillance,<20
2021-06-17,exposed-expose,<20
2021-06-17,monitoring-surveillance,<20
2021-06-18,exposed-expose,<20
2021-06-18,monitoring-surveillance,<20
2021-06-19,exposed-expose,<20
2021-06-19,monitoring-surveillance,<20
2021-06-20,exposed-expose,<20
2021-06-20,monitoring-surveillance,<20
2021-06-21,exposed-expose,<20
2021-06-21,monitoring-surveillance,<20
2021-06-22,exposed-expose,<20
2021-06-22,monitoring-surveillance,<20
2021-06-23,exposed-expose,<20
2021-06-23,monitoring-surveillance,<20
2021-06-24,exposed-expose,<20
2021-06-24,monitoring-surveillance,<20
2021-06-25,exposed-expose,<20
2021-06-25,monitoring-surveillance,<20
2021-06-26,exposed-expose,<20
2021-06-26,monitoring-surveillance,<20
2021-06-27,exposed-expose,<20
2021-06-27,monitoring-surveillance,<20
2021-06-28,exposed-expose,<20
2021-06-28,monitoring-surveillance,<20
2021-06-29,exposed-expose,<20
2021-06-29,monitoring-surveillance,<20
2021-06-30,exposed-expose,<20
2021-06-30,monitoring-surveillance,<20
2021-07-01,exposed-expose,<20
2021-07-01,monitoring-surveillance,<20
2021-07-02,exposed-expose,<20
2021-07-02,monitoring-surveillance,<20
