date,os-se,count-nombre
2021-02-25,android,1651
2021-02-25,ios,2671
2021-02-26,android,2017
2021-02-26,ios,3602
2021-02-27,android,2754
2021-02-27,ios,3475
2021-02-28,android,2487
2021-02-28,ios,3481
2021-03-01,android,2400
2021-03-01,ios,3351
2021-03-02,android,2120
2021-03-02,ios,3086
2021-03-03,android,2037
2021-03-03,ios,2817
2021-03-04,android,2256
2021-03-04,ios,2788
2021-03-05,android,2377
2021-03-05,ios,3225
2021-03-06,android,2064
2021-03-06,ios,2810
2021-03-07,android,1760
2021-03-07,ios,2830
2021-03-08,android,1782
2021-03-08,ios,2810
2021-03-09,android,1862
2021-03-09,ios,2687
2021-03-10,android,1813
2021-03-10,ios,2737
2021-03-11,android,1790
2021-03-11,ios,2723
2021-03-12,android,2002
2021-03-12,ios,2847
2021-03-13,android,1958
2021-03-13,ios,2779
2021-03-14,android,2085
2021-03-14,ios,2645
2021-03-15,android,2102
2021-03-15,ios,2647
2021-03-16,android,2149
2021-03-16,ios,2705
2021-03-17,android,2592
2021-03-17,ios,3380
2021-03-18,android,2423
2021-03-18,ios,3217
2021-03-19,android,2178
2021-03-19,ios,2723
2021-03-20,android,2034
2021-03-20,ios,2843
2021-03-21,android,1843
2021-03-21,ios,2600
2021-03-22,android,1967
2021-03-22,ios,2645
2021-03-23,android,3315
2021-03-23,ios,2604
2021-03-24,android,2564
2021-03-24,ios,2678
2021-03-25,android,2343
2021-03-25,ios,2615
2021-03-26,android,2181
2021-03-26,ios,2785
2021-03-27,android,2102
2021-03-27,ios,2797
2021-03-28,android,1962
2021-03-28,ios,2823
2021-03-29,android,2095
2021-03-29,ios,2850
2021-03-30,android,2235
2021-03-30,ios,2858
2021-03-31,android,2242
2021-03-31,ios,3112
2021-04-01,android,2318
2021-04-01,ios,3514
2021-04-02,android,2170
2021-04-02,ios,3168
2021-04-03,android,2069
2021-04-03,ios,2805
2021-04-04,android,1890
2021-04-04,ios,2957
2021-04-05,android,2134
2021-04-05,ios,3177
2021-04-06,android,2339
2021-04-06,ios,3410
2021-04-07,android,2355
2021-04-07,ios,3482
2021-04-08,android,2586
2021-04-08,ios,3636
2021-04-09,android,1790
2021-04-09,ios,3148
2021-04-10,android,1633
2021-04-10,ios,3129
2021-04-11,android,2387
2021-04-11,ios,3999
2021-04-12,android,2266
2021-04-12,ios,3949
2021-04-13,android,1945
2021-04-13,ios,3434
2021-04-14,android,1788
2021-04-14,ios,3214
2021-04-15,android,1739
2021-04-15,ios,3255
2021-04-16,android,1962
2021-04-16,ios,3610
2021-04-17,android,1685
2021-04-17,ios,3077
2021-04-18,android,1404
2021-04-18,ios,2716
2021-04-19,android,1625
2021-04-19,ios,3037
2021-04-20,android,1607
2021-04-20,ios,2819
2021-04-21,android,1667
2021-04-21,ios,2896
2021-04-22,android,1741
2021-04-22,ios,3081
2021-04-23,android,1739
2021-04-23,ios,3073
2021-04-24,android,1720
2021-04-24,ios,3258
2021-04-25,android,1718
2021-04-25,ios,3221
2021-04-26,android,1834
2021-04-26,ios,3568
2021-04-27,android,1853
2021-04-27,ios,3447
2021-04-28,android,1638
2021-04-28,ios,2961
2021-04-29,android,1456
2021-04-29,ios,2575
2021-04-30,android,1509
2021-04-30,ios,2551
2021-05-01,android,1424
2021-05-01,ios,2477
2021-05-02,android,1389
2021-05-02,ios,2449
2021-05-03,android,1430
2021-05-03,ios,2645
2021-05-04,android,1514
2021-05-04,ios,2612
2021-05-05,android,1410
2021-05-05,ios,2479
2021-05-06,android,1418
2021-05-06,ios,2425
2021-05-07,android,1436
2021-05-07,ios,2348
2021-05-08,android,1338
2021-05-08,ios,2273
2021-05-09,android,1147
2021-05-09,ios,1933
2021-05-10,android,1217
2021-05-10,ios,2203
2021-05-11,android,1364
2021-05-11,ios,2232
2021-05-12,android,1332
2021-05-12,ios,2158
2021-05-13,android,1133
2021-05-13,ios,2033
2021-05-14,android,1172
2021-05-14,ios,1927
2021-05-15,android,1029
2021-05-15,ios,1677
2021-05-16,android,965
2021-05-16,ios,1593
2021-05-17,android,1120
2021-05-17,ios,1747
2021-05-18,android,1109
2021-05-18,ios,1714
2021-05-19,android,1136
2021-05-19,ios,1707
2021-05-20,android,997
2021-05-20,ios,1876
2021-05-21,android,956
2021-05-21,ios,1747
2021-05-22,android,897
2021-05-22,ios,1694
2021-05-23,android,908
2021-05-23,ios,1622
2021-05-24,android,858
2021-05-24,ios,1485
2021-05-25,android,886
2021-05-25,ios,1623
2021-05-26,android,869
2021-05-26,ios,1579
2021-05-27,android,1129
2021-05-27,ios,1842
2021-05-28,android,1736
2021-05-28,ios,3363
2021-05-29,android,894
2021-05-29,ios,1519
2021-05-30,android,767
2021-05-30,ios,1323
2021-05-31,android,795
2021-05-31,ios,1303
