date,os-se,app_version-version_appli,count-nombre
2021-02-25,android,1.2.0,1554
2021-02-25,android,1.2.1,93
2021-02-25,android,1.2.2,<20
2021-02-25,android,1.2.5,<20
2021-02-25,ios,1.2.0,2667
2021-02-25,ios,1.2.1,<20
2021-02-26,android,1.2.0,1715
2021-02-26,android,1.2.1,299
2021-02-26,android,1.2.2,<20
2021-02-26,android,1.2.3,<20
2021-02-26,android,1.4.3,<20
2021-02-26,ios,1.2.0,2983
2021-02-26,ios,1.2.1,618
2021-02-26,ios,1.2.3,<20
2021-02-27,android,1.2.0,889
2021-02-27,android,1.2.1,1854
2021-02-27,android,1.2.2,<20
2021-02-27,android,1.2.3,<20
2021-02-27,android,1.2.7,<20
2021-02-27,android,1.2.8,<20
2021-02-27,android,1.2.9,<20
2021-02-27,ios,1.2.0,785
2021-02-27,ios,1.2.1,2688
2021-02-27,ios,1.2.2,<20
2021-02-27,ios,1.2.4,<20
2021-02-28,android,1.2.0,276
2021-02-28,android,1.2.1,2198
2021-02-28,android,1.2.2,<20
2021-02-28,android,1.2.3,<20
2021-02-28,android,1.2.4,<20
2021-02-28,android,1.2.7,<20
2021-02-28,android,1.2.9,<20
2021-02-28,android,1.4.2,<20
2021-02-28,android,1.4.4,<20
2021-02-28,android,1.4.5,<20
2021-02-28,ios,1.2.0,275
2021-02-28,ios,1.2.1,3205
2021-02-28,ios,1.2.2,<20
2021-03-01,android,1.2.0,177
2021-03-01,android,1.2.1,2197
2021-03-01,android,1.2.2,<20
2021-03-01,android,1.2.3,<20
2021-03-01,android,1.2.4,<20
2021-03-01,android,1.2.5,<20
2021-03-01,android,1.2.7,<20
2021-03-01,android,1.2.8,<20
2021-03-01,android,1.2.9,<20
2021-03-01,android,1.4.2,<20
2021-03-01,android,1.4.3,<20
2021-03-01,android,1.4.4,<20
2021-03-01,ios,1.2.0,123
2021-03-01,ios,1.2.1,3226
2021-03-01,ios,1.2.2,<20
2021-03-01,ios,1.2.4,<20
2021-03-01,ios,1.4.6,<20
2021-03-02,android,1.2.0,95
2021-03-02,android,1.2.1,1999
2021-03-02,android,1.2.2,<20
2021-03-02,android,1.2.3,<20
2021-03-02,android,1.2.4,<20
2021-03-02,android,1.2.7,<20
2021-03-02,android,1.2.9,<20
2021-03-02,ios,1.2.0,107
2021-03-02,ios,1.2.1,2977
2021-03-02,ios,1.2.4,<20
2021-03-02,ios,1.2.7,<20
2021-03-03,android,1.2.0,69
2021-03-03,android,1.2.1,1945
2021-03-03,android,1.2.2,<20
2021-03-03,android,1.2.3,<20
2021-03-03,android,1.2.4,<20
2021-03-03,android,1.2.6,<20
2021-03-03,android,1.2.7,<20
2021-03-03,android,1.2.9,<20
2021-03-03,android,1.4.3,<20
2021-03-03,android,1.4.6,<20
2021-03-03,android,1.5.3,<20
2021-03-03,ios,1.2.0,61
2021-03-03,ios,1.2.1,2755
2021-03-03,ios,1.2.2,<20
2021-03-04,android,1.2.0,48
2021-03-04,android,1.2.1,2017
2021-03-04,android,1.2.2,182
2021-03-04,android,1.2.3,<20
2021-03-04,android,1.2.7,<20
2021-03-04,android,1.2.8,<20
2021-03-04,android,1.2.9,<20
2021-03-04,android,1.4.2,<20
2021-03-04,android,1.4.6,<20
2021-03-04,android,1.5.3,<20
2021-03-04,ios,1.2.0,48
2021-03-04,ios,1.2.1,2739
2021-03-04,ios,1.2.2,<20
2021-03-05,android,1.2.0,45
2021-03-05,android,1.2.1,1714
2021-03-05,android,1.2.2,598
2021-03-05,android,1.2.3,<20
2021-03-05,android,1.2.4,<20
2021-03-05,android,1.2.5,<20
2021-03-05,android,1.2.6,<20
2021-03-05,android,1.2.7,<20
2021-03-05,android,1.2.8,<20
2021-03-05,android,1.2.9,<20
2021-03-05,android,1.4.4,<20
2021-03-05,ios,1.2.0,47
2021-03-05,ios,1.2.1,2083
2021-03-05,ios,1.2.2,1094
2021-03-05,ios,1.2.4,<20
2021-03-06,android,1.2.0,31
2021-03-06,android,1.2.1,482
2021-03-06,android,1.2.2,1539
2021-03-06,android,1.2.3,<20
2021-03-06,android,1.2.4,<20
2021-03-06,android,1.2.5,<20
2021-03-06,android,1.2.7,<20
2021-03-06,android,1.2.9,<20
2021-03-06,ios,1.2.0,33
2021-03-06,ios,1.2.1,418
2021-03-06,ios,1.2.2,2358
2021-03-06,ios,1.2.8,<20
2021-03-06,ios,1.5.3,<20
2021-03-07,android,1.2.0,34
2021-03-07,android,1.2.1,215
2021-03-07,android,1.2.2,1498
2021-03-07,android,1.2.3,<20
2021-03-07,android,1.2.4,<20
2021-03-07,android,1.2.6,<20
2021-03-07,android,1.2.8,<20
2021-03-07,android,1.2.9,<20
2021-03-07,android,1.4.4,<20
2021-03-07,ios,1.2.0,28
2021-03-07,ios,1.2.1,132
2021-03-07,ios,1.2.2,2669
2021-03-07,ios,1.2.7,<20
2021-03-07,ios,1.5.3,<20
2021-03-08,android,1.2.0,22
2021-03-08,android,1.2.1,99
2021-03-08,android,1.2.2,1643
2021-03-08,android,1.2.3,<20
2021-03-08,android,1.2.4,<20
2021-03-08,android,1.2.6,<20
2021-03-08,android,1.2.7,<20
2021-03-08,android,1.2.8,<20
2021-03-08,android,1.2.9,<20
2021-03-08,android,1.4.6,<20
2021-03-08,ios,1.2.0,32
2021-03-08,ios,1.2.1,63
2021-03-08,ios,1.2.2,2714
2021-03-08,ios,1.2.3,<20
2021-03-09,android,1.2.0,28
2021-03-09,android,1.2.1,50
2021-03-09,android,1.2.2,1680
2021-03-09,android,1.2.3,93
2021-03-09,android,1.2.4,<20
2021-03-09,android,1.2.5,<20
2021-03-09,android,1.2.6,<20
2021-03-09,android,1.2.7,<20
2021-03-09,android,1.2.9,<20
2021-03-09,android,1.4.4,<20
2021-03-09,android,1.5.3,<20
2021-03-09,ios,1.2.0,37
2021-03-09,ios,1.2.1,50
2021-03-09,ios,1.2.2,2597
