date,region,exposure_status-etat_verification,count-nombre
2021-03-31,AB,exposed-expose,<20
2021-03-31,AB,monitoring-surveillance,<20
2021-03-31,BC,exposed-expose,<20
2021-03-31,BC,monitoring-surveillance,<20
2021-03-31,MB,exposed-expose,<20
2021-03-31,MB,monitoring-surveillance,<20
2021-03-31,NB,exposed-expose,<20
2021-03-31,NB,monitoring-surveillance,<20
2021-03-31,NL,exposed-expose,<20
2021-03-31,NL,monitoring-surveillance,<20
2021-03-31,NT,exposed-expose,<20
2021-03-31,NT,monitoring-surveillance,<20
2021-03-31,NS,exposed-expose,<20
2021-03-31,NS,monitoring-surveillance,<20
2021-03-31,NU,exposed-expose,<20
2021-03-31,NU,monitoring-surveillance,<20
2021-03-31,ON,exposed-expose,<20
2021-03-31,ON,monitoring-surveillance,<20
2021-03-31,PE,exposed-expose,<20
2021-03-31,PE,monitoring-surveillance,<20
2021-03-31,QC,exposed-expose,<20
2021-03-31,QC,monitoring-surveillance,<20
2021-03-31,SK,exposed-expose,<20
2021-03-31,SK,monitoring-surveillance,<20
2021-03-31,YT,exposed-expose,<20
2021-03-31,YT,monitoring-surveillance,<20
2021-03-31,npts-ptso,exposed-expose,<20
2021-03-31,npts-ptso,monitoring-surveillance,<20
2021-04-30,AB,exposed-expose,20
2021-04-30,AB,monitoring-surveillance,<20
2021-04-30,BC,exposed-expose,<20
2021-04-30,BC,monitoring-surveillance,<20
2021-04-30,MB,exposed-expose,917
2021-04-30,MB,monitoring-surveillance,288
2021-04-30,NB,exposed-expose,<20
2021-04-30,NB,monitoring-surveillance,<20
2021-04-30,NL,exposed-expose,92
2021-04-30,NL,monitoring-surveillance,30
2021-04-30,NT,exposed-expose,<20
2021-04-30,NT,monitoring-surveillance,<20
2021-04-30,NS,exposed-expose,402
2021-04-30,NS,monitoring-surveillance,139
2021-04-30,NU,exposed-expose,<20
2021-04-30,NU,monitoring-surveillance,<20
2021-04-30,ON,exposed-expose,20255
2021-04-30,ON,monitoring-surveillance,4896
2021-04-30,PE,exposed-expose,<20
2021-04-30,PE,monitoring-surveillance,<20
2021-04-30,QC,exposed-expose,1577
2021-04-30,QC,monitoring-surveillance,317
2021-04-30,SK,exposed-expose,727
2021-04-30,SK,monitoring-surveillance,190
2021-04-30,YT,exposed-expose,<20
2021-04-30,YT,monitoring-surveillance,<20
2021-04-30,npts-ptso,exposed-expose,1039
2021-04-30,npts-ptso,monitoring-surveillance,236
2021-05-31,AB,exposed-expose,<20
2021-05-31,AB,monitoring-surveillance,<20
2021-05-31,BC,exposed-expose,38
2021-05-31,BC,monitoring-surveillance,<20
2021-05-31,MB,exposed-expose,2926
2021-05-31,MB,monitoring-surveillance,572
2021-05-31,NB,exposed-expose,96
2021-05-31,NB,monitoring-surveillance,20
2021-05-31,NL,exposed-expose,190
2021-05-31,NL,monitoring-surveillance,67
2021-05-31,NT,exposed-expose,72
2021-05-31,NT,monitoring-surveillance,<20
2021-05-31,NS,exposed-expose,523
2021-05-31,NS,monitoring-surveillance,102
2021-05-31,NU,exposed-expose,<20
2021-05-31,NU,monitoring-surveillance,<20
2021-05-31,ON,exposed-expose,15729
2021-05-31,ON,monitoring-surveillance,2807
2021-05-31,PE,exposed-expose,<20
2021-05-31,PE,monitoring-surveillance,<20
2021-05-31,QC,exposed-expose,923
2021-05-31,QC,monitoring-surveillance,155
2021-05-31,SK,exposed-expose,954
2021-05-31,SK,monitoring-surveillance,211
2021-05-31,YT,exposed-expose,<20
2021-05-31,YT,monitoring-surveillance,<20
2021-05-31,npts-ptso,exposed-expose,689
2021-05-31,npts-ptso,monitoring-surveillance,152
2021-06-30,AB,exposed-expose,<20
2021-06-30,AB,monitoring-surveillance,<20
2021-06-30,BC,exposed-expose,<20
2021-06-30,BC,monitoring-surveillance,<20
2021-06-30,MB,exposed-expose,436
2021-06-30,MB,monitoring-surveillance,123
2021-06-30,NB,exposed-expose,<20
2021-06-30,NB,monitoring-surveillance,<20
2021-06-30,NL,exposed-expose,62
2021-06-30,NL,monitoring-surveillance,30
2021-06-30,NT,exposed-expose,<20
2021-06-30,NT,monitoring-surveillance,<20
2021-06-30,NS,exposed-expose,70
2021-06-30,NS,monitoring-surveillance,<20
