date,os-se,app_version-version_appli,count-nombre
2021-02-28,android,1.2.0,4434
2021-02-28,android,1.2.1,4444
2021-02-28,android,1.2.2,<20
2021-02-28,android,1.2.3,<20
2021-02-28,android,1.2.4,<20
2021-02-28,android,1.2.5,<20
2021-02-28,android,1.2.7,<20
2021-02-28,android,1.2.8,<20
2021-02-28,android,1.2.9,<20
2021-02-28,android,1.4.2,<20
2021-02-28,android,1.4.3,<20
2021-02-28,android,1.4.4,<20
2021-02-28,android,1.4.5,<20
2021-02-28,ios,1.2.0,6710
2021-02-28,ios,1.2.1,6515
2021-02-28,ios,1.2.2,<20
2021-02-28,ios,1.2.3,<20
2021-02-28,ios,1.2.4,<20
2021-03-31,android,1.2.0,957
2021-03-31,android,1.2.1,11054
2021-03-31,android,1.2.2,12743
2021-03-31,android,1.2.3,31146
2021-03-31,android,1.2.4,10251
2021-03-31,android,1.2.5,230
2021-03-31,android,1.2.6,63
2021-03-31,android,1.2.7,103
2021-03-31,android,1.2.8,76
2021-03-31,android,1.2.9,166
2021-03-31,android,1.4.2,<20
2021-03-31,android,1.4.3,<20
2021-03-31,android,1.4.4,<20
2021-03-31,android,1.4.5,<20
2021-03-31,android,1.4.6,<20
2021-03-31,android,1.5.3,<20
2021-03-31,ios,1.2.0,954
2021-03-31,ios,1.2.1,14818
2021-03-31,ios,1.2.2,19750
2021-03-31,ios,1.2.3,38273
2021-03-31,ios,1.2.4,14212
2021-03-31,ios,1.2.7,<20
2021-03-31,ios,1.2.8,<20
2021-03-31,ios,1.4.0,<20
2021-03-31,ios,1.4.5,<20
2021-03-31,ios,1.4.6,<20
2021-03-31,ios,1.5.3,<20
2021-03-31,ios,1.5.4,<20
2021-04-30,android,1.2.0,204
2021-04-30,android,1.2.1,111
2021-04-30,android,1.2.2,122
2021-04-30,android,1.2.3,560
2021-04-30,android,1.2.4,10282
2021-04-30,android,1.2.5,4683
2021-04-30,android,1.2.6,10728
2021-04-30,android,1.2.7,22233
2021-04-30,android,1.2.8,7556
2021-04-30,android,1.2.9,373
2021-04-30,android,1.4.2,<20
2021-04-30,android,1.4.3,22
2021-04-30,android,1.4.4,<20
2021-04-30,android,1.4.5,<20
2021-04-30,android,1.4.6,<20
2021-04-30,android,1.5.2,<20
2021-04-30,android,1.5.3,20
2021-04-30,ios,1.2.0,288
2021-04-30,ios,1.2.1,183
2021-04-30,ios,1.2.2,209
2021-04-30,ios,1.2.3,751
2021-04-30,ios,1.2.4,22464
2021-04-30,ios,1.2.6,17747
2021-04-30,ios,1.2.7,40860
2021-04-30,ios,1.2.8,13664
2021-04-30,ios,1.2.9,<20
2021-04-30,ios,1.4.0,<20
2021-04-30,ios,1.4.1,<20
2021-04-30,ios,1.4.4,<20
2021-04-30,ios,1.4.5,<20
2021-04-30,ios,1.4.6,<20
2021-04-30,ios,1.5.3,<20
2021-04-30,ios,1.5.4,<20
2021-05-31,android,1.2.0,81
2021-05-31,android,1.2.1,44
2021-05-31,android,1.2.2,42
2021-05-31,android,1.2.3,138
2021-05-31,android,1.2.4,118
2021-05-31,android,1.2.5,26
2021-05-31,android,1.2.6,61
2021-05-31,android,1.2.7,334
2021-05-31,android,1.2.8,23042
2021-05-31,android,1.2.9,12301
2021-05-31,android,1.3.0,59
2021-05-31,android,1.4.2,37
2021-05-31,android,1.4.3,30
2021-05-31,android,1.4.4,<20
2021-05-31,android,1.4.5,<20
2021-05-31,android,1.4.6,<20
2021-05-31,android,1.5.3,26
2021-05-31,ios,1.2.0,140
2021-05-31,ios,1.2.1,80
2021-05-31,ios,1.2.2,73
2021-05-31,ios,1.2.3,174
2021-05-31,ios,1.2.4,212
2021-05-31,ios,1.2.6,117
2021-05-31,ios,1.2.7,499
2021-05-31,ios,1.2.8,40147
2021-05-31,ios,1.2.9,4029
2021-05-31,ios,1.2.10,<20
2021-05-31,ios,1.4.0,16140
2021-05-31,ios,1.4.1,<20
2021-05-31,ios,1.4.4,<20
2021-05-31,ios,1.4.5,<20
2021-05-31,ios,1.4.6,<20
2021-05-31,ios,1.5.3,<20
2021-05-31,ios,1.5.4,<20
2021-06-30,android,1.2.0,89
2021-06-30,android,1.2.1,<20
2021-06-30,android,1.2.2,29
2021-06-30,android,1.2.3,51
2021-06-30,android,1.2.4,37
2021-06-30,android,1.2.5,<20
2021-06-30,android,1.2.6,23
2021-06-30,android,1.2.7,79
2021-06-30,android,1.2.8,211
2021-06-30,android,1.2.9,6220
2021-06-30,android,1.3.0,<20
2021-06-30,android,1.4.2,5945
2021-06-30,android,1.4.3,9806
2021-06-30,android,1.4.4,1028
2021-06-30,android,1.4.5,78
2021-06-30,android,1.4.6,27
2021-06-30,android,1.5.2,<20
2021-06-30,android,1.5.3,25
2021-06-30,android,2.0.0,48
2021-06-30,ios,1.2.0,64
2021-06-30,ios,1.2.1,24
2021-06-30,ios,1.2.2,32
2021-06-30,ios,1.2.3,90
2021-06-30,ios,1.2.4,87
2021-06-30,ios,1.2.6,35
2021-06-30,ios,1.2.7,130
2021-06-30,ios,1.2.8,300
2021-06-30,ios,1.2.9,67
2021-06-30,ios,1.4.0,4264
2021-06-30,ios,1.4.1,22618
2021-06-30,ios,1.4.4,9033
2021-06-30,ios,1.4.5,<20
2021-06-30,ios,1.4.6,<20
2021-06-30,ios,1.5.3,<20
2021-06-30,ios,1.5.4,<20
2021-06-30,ios,2.0.0,<20
2021-07-31,android,1.2.0,38
2021-07-31,android,1.2.1,<20
2021-07-31,android,1.2.2,<20
2021-07-31,android,1.2.3,40
2021-07-31,android,1.2.4,24
2021-07-31,android,1.2.5,<20
2021-07-31,android,1.2.6,<20
2021-07-31,android,1.2.7,39
2021-07-31,android,1.2.8,78
2021-07-31,android,1.2.9,104
2021-07-31,android,1.4.2,67
2021-07-31,android,1.4.3,412
2021-07-31,android,1.4.4,4163
2021-07-31,android,1.4.5,5105
2021-07-31,android,1.4.6,12065
2021-07-31,android,1.5.2,<20
2021-07-31,android,1.5.3,46
2021-07-31,ios,1.1.8,<20
2021-07-31,ios,1.2.0,59
2021-07-31,ios,1.2.1,<20
2021-07-31,ios,1.2.2,34
2021-07-31,ios,1.2.3,58
2021-07-31,ios,1.2.4,51
2021-07-31,ios,1.2.6,26
2021-07-31,ios,1.2.7,85
2021-07-31,ios,1.2.8,180
2021-07-31,ios,1.2.9,31
2021-07-31,ios,1.4.0,126
2021-07-31,ios,1.4.1,321
2021-07-31,ios,1.4.4,7373
2021-07-31,ios,1.4.5,8079
2021-07-31,ios,1.4.6,20433
2021-07-31,ios,1.5.2,<20
2021-07-31,ios,1.5.3,<20
2021-07-31,ios,1.5.4,<20
2021-08-31,android,1.2.0,24
2021-08-31,android,1.2.1,<20
2021-08-31,android,1.2.2,<20
2021-08-31,android,1.2.3,37
2021-08-31,android,1.2.4,29
2021-08-31,android,1.2.5,<20
2021-08-31,android,1.2.6,<20
2021-08-31,android,1.2.7,43
2021-08-31,android,1.2.8,73
2021-08-31,android,1.2.9,82
2021-08-31,android,1.4.2,33
2021-08-31,android,1.4.3,80
2021-08-31,android,1.4.4,55
2021-08-31,android,1.4.5,57
2021-08-31,android,1.4.6,4317
2021-08-31,android,1.5.2,3417
2021-08-31,android,1.5.3,21824
2021-08-31,ios,1.2.0,67
2021-08-31,ios,1.2.1,33
2021-08-31,ios,1.2.2,23
2021-08-31,ios,1.2.3,50
2021-08-31,ios,1.2.4,60
2021-08-31,ios,1.2.6,31
2021-08-31,ios,1.2.7,59
2021-08-31,ios,1.2.8,147
2021-08-31,ios,1.2.9,<20
2021-08-31,ios,1.4.0,87
2021-08-31,ios,1.4.1,169
2021-08-31,ios,1.4.4,172
2021-08-31,ios,1.4.5,105
2021-08-31,ios,1.4.6,7563
2021-08-31,ios,1.5.2,6827
2021-08-31,ios,1.5.3,34307
2021-08-31,ios,1.5.4,51
2021-08-31,ios,2.0.0,<20
2021-09-30,android,1.2.0,31
2021-09-30,android,1.2.1,<20
2021-09-30,android,1.2.2,<20
2021-09-30,android,1.2.3,39
2021-09-30,android,1.2.4,27
2021-09-30,android,1.2.5,<20
2021-09-30,android,1.2.6,<20
2021-09-30,android,1.2.7,33
2021-09-30,android,1.2.8,66
2021-09-30,android,1.2.9,53
2021-09-30,android,1.4.2,22
