date,os-se,count-nombre
2020-07-31,android,262575
2020-07-31,ios,326519
2020-08-31,android,824906
2020-08-31,ios,1413532
2020-09-30,android,1185311
2020-09-30,ios,1930941
2020-10-31,android,2082180
2020-10-31,ios,2905350
2020-11-30,android,2357276
2020-11-30,ios,3211004
2020-12-31,android,2486175
2020-12-31,ios,3376485
2021-01-31,android,2596532
2021-01-31,ios,3546927
2021-02-28,android,2664507
2021-02-28,ios,3656628
2021-03-31,android,2715925
2021-03-31,ios,3698281
2021-04-30,android,2748671
2021-04-30,ios,3743367
2021-05-31,android,2768712
2021-05-31,ios,3770686
2021-06-30,android,2783637
2021-06-30,ios,3784272
2021-07-31,android,2799744
2021-07-31,ios,3798552
2021-08-31,android,2821198
2021-08-31,ios,3818858
2021-09-30,android,2848867
2021-09-30,ios,3843845
2021-10-31,android,2876051
2021-10-31,ios,3865368
2021-11-30,android,2895952
2021-11-30,ios,3881727
2021-12-31,android,2926964
2021-12-31,ios,3920197
2022-01-31,android,2948438
2022-01-31,ios,3944745
2022-02-28,android,2959232
2022-02-28,ios,3951871
2022-03-31,android,2968319
2022-03-31,ios,3956605
2022-04-30,android,2977185
2022-04-30,ios,3961759
