date,region,count-nombre
2020-10-31,AB,<20
2020-10-31,BC,<20
2020-10-31,MB,155
2020-10-31,NB,<20
2020-10-31,NL,<20
2020-10-31,NT,<20
2020-10-31,NS,<20
2020-10-31,NU,<20
2020-10-31,ON,1561
2020-10-31,PE,<20
2020-10-31,QC,1037
2020-10-31,SK,83
2020-10-31,YT,<20
2020-10-31,npts-ptso,<20
2020-11-30,AB,<20
2020-11-30,BC,<20
2020-11-30,MB,562
2020-11-30,NB,33
2020-11-30,NL,<20
2020-11-30,NT,<20
2020-11-30,NS,26
2020-11-30,NU,<20
2020-11-30,ON,2820
2020-11-30,PE,<20
2020-11-30,QC,997
2020-11-30,SK,410
2020-11-30,YT,<20
2020-11-30,npts-ptso,<20
2020-12-31,AB,<20
2020-12-31,BC,<20
2020-12-31,MB,344
2020-12-31,NB,<20
2020-12-31,NL,<20
2020-12-31,NT,<20
2020-12-31,NS,21
2020-12-31,NU,<20
2020-12-31,ON,4747
2020-12-31,PE,<20
2020-12-31,QC,1299
2020-12-31,SK,414
2020-12-31,YT,<20
2020-12-31,npts-ptso,<20
2021-01-31,AB,<20
2021-01-31,BC,<20
2021-01-31,MB,157
2021-01-31,NB,84
2021-01-31,NL,<20
2021-01-31,NT,<20
2021-01-31,NS,<20
2021-01-31,NU,<20
2021-01-31,ON,5376
2021-01-31,PE,<20
2021-01-31,QC,952
2021-01-31,SK,615
2021-01-31,YT,<20
2021-01-31,npts-ptso,<20
2021-02-28,AB,<20
2021-02-28,BC,<20
2021-02-28,MB,56
2021-02-28,NB,<20
2021-02-28,NL,210
2021-02-28,NT,<20
2021-02-28,NS,<20
2021-02-28,NU,<20
2021-02-28,ON,1962
2021-02-28,PE,<20
2021-02-28,QC,296
2021-02-28,SK,655
2021-02-28,YT,<20
2021-02-28,npts-ptso,<20
2021-03-31,AB,<20
2021-03-31,BC,<20
2021-03-31,MB,100
2021-03-31,NB,<20
2021-03-31,NL,<20
2021-03-31,NT,<20
2021-03-31,NS,<20
2021-03-31,NU,<20
2021-03-31,ON,3778
2021-03-31,PE,<20
2021-03-31,QC,236
2021-03-31,SK,641
2021-03-31,YT,<20
2021-03-31,npts-ptso,<20
2021-04-30,AB,<20
2021-04-30,BC,<20
2021-04-30,MB,334
2021-04-30,NB,29
2021-04-30,NL,<20
2021-04-30,NT,<20
2021-04-30,NS,74
2021-04-30,NU,<20
2021-04-30,ON,8520
2021-04-30,PE,<20
2021-04-30,QC,287
2021-04-30,SK,551
2021-04-30,YT,<20
2021-04-30,npts-ptso,<20
2021-05-31,AB,<20
2021-05-31,BC,<20
2021-05-31,MB,764
2021-05-31,NB,<20
2021-05-31,NL,51
2021-05-31,NT,<20
2021-05-31,NS,62
2021-05-31,NU,<20
2021-05-31,ON,3736
2021-05-31,PE,<20
2021-05-31,QC,85
2021-05-31,SK,585
2021-05-31,YT,<20
2021-05-31,npts-ptso,<20
