date,os-se,count-nombre
2021-04-30,android,280048
2021-04-30,ios,<20
2021-05-31,android,904662
2021-05-31,ios,9543
2021-06-30,android,1303684
2021-06-30,ios,1550576
2021-07-31,android,1389887
2021-07-31,ios,2260159
2021-08-31,android,1274184
2021-08-31,ios,1878937
2021-09-30,android,1083647
2021-09-30,ios,2172826
2021-10-31,android,985069
2021-10-31,ios,2101295
2021-11-30,android,958235
2021-11-30,ios,2085497
2021-12-31,android,942828
2021-12-31,ios,2066823
2022-01-31,android,926149
2022-01-31,ios,2050649
2022-02-28,android,879358
2022-02-28,ios,1984329
2022-03-31,android,818086
2022-03-31,ios,1887901
