date,os-se,count-nombre
2021-04-30,android,280048
2021-04-30,ios,<20
2021-05-31,android,904492
2021-05-31,ios,9543
2021-06-30,android,1299740
2021-06-30,ios,1550576
2021-07-31,android,1381569
2021-07-31,ios,2260158
2021-08-31,android,1265172
2021-08-31,ios,1878937
2021-09-30,android,1077116
2021-09-30,ios,2172826
2021-10-31,android,985057
2021-10-31,ios,2101295
2021-11-30,android,958203
2021-11-30,ios,2085497
2021-12-31,android,942774
2021-12-31,ios,2066823
2022-01-31,android,926072
2022-01-31,ios,2050648
2022-02-28,android,878859
2022-02-28,ios,1984327
