date,os-se,count-nombre
2021-02-28,android,183335
2021-02-28,ios,835244
2021-03-31,android,675885
2021-03-31,ios,2406052
2021-04-30,android,762619
2021-04-30,ios,2463373
2021-05-31,android,1551328
2021-05-31,ios,2135333
2021-06-30,android,2032558
2021-06-30,ios,2304738
2021-07-31,android,1466231
2021-07-31,ios,2259546
2021-08-31,android,1335023
2021-08-31,ios,2088192
2021-09-30,android,3011376
2021-09-30,ios,2135113
2021-10-31,android,4424990
2021-10-31,ios,2079626
2021-11-30,android,1658715
2021-11-30,ios,2062206
