date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-02-28,1-6,android,1.2.0,2722
2021-02-28,1-6,android,1.2.1,5838
2021-02-28,1-6,android,1.2.2,9061
2021-02-28,1-6,android,1.2.3,3274
2021-02-28,1-6,android,1.2.4,1032
2021-02-28,1-6,android,1.2.5,155
2021-02-28,1-6,android,1.2.6,311
2021-02-28,1-6,android,1.2.7,463
2021-02-28,1-6,android,1.2.8,458
2021-02-28,1-6,android,1.2.9,559
2021-02-28,1-6,ios,1.2.0,1903
2021-02-28,1-6,ios,1.2.1,508
2021-02-28,1-6,ios,1.2.2,354
2021-02-28,1-6,ios,1.2.3,285
2021-02-28,1-6,ios,1.2.4,153
2021-02-28,1-6,ios,1.2.6,59
2021-02-28,1-6,ios,1.2.7,93
2021-02-28,1-6,ios,1.2.8,107
2021-02-28,1-6,ios,1.2.9,<20
2021-02-28,1-6,ios,1.4.0,35
2021-02-28,1-6,ios,1.4.1,<20
2021-02-28,13-30,android,1.2.0,29
2021-02-28,13-30,android,1.2.1,20
2021-02-28,13-30,android,1.2.2,23
2021-02-28,13-30,android,1.2.3,<20
2021-02-28,13-30,android,1.2.4,<20
2021-02-28,13-30,android,1.2.6,<20
2021-02-28,13-30,android,1.2.7,<20
2021-02-28,13-30,android,1.2.8,<20
2021-02-28,13-30,android,1.2.9,<20
2021-02-28,13-30,ios,1.2.0,<20
2021-02-28,30+,android,1.2.0,<20
2021-02-28,7-12,android,1.2.0,319
2021-02-28,7-12,android,1.2.1,463
2021-02-28,7-12,android,1.2.2,647
2021-02-28,7-12,android,1.2.3,262
2021-02-28,7-12,android,1.2.4,85
2021-02-28,7-12,android,1.2.5,<20
2021-02-28,7-12,android,1.2.6,34
2021-02-28,7-12,android,1.2.7,34
2021-02-28,7-12,android,1.2.8,48
2021-02-28,7-12,android,1.2.9,60
2021-02-28,7-12,ios,1.2.0,501
2021-02-28,7-12,ios,1.2.1,139
2021-02-28,7-12,ios,1.2.2,131
2021-02-28,7-12,ios,1.2.3,111
2021-02-28,7-12,ios,1.2.4,61
2021-02-28,7-12,ios,1.2.6,30
2021-02-28,7-12,ios,1.2.7,39
2021-02-28,7-12,ios,1.2.8,34
2021-02-28,7-12,ios,1.2.9,<20
2021-02-28,7-12,ios,1.4.0,<20
2021-02-28,7-12,ios,1.4.1,<20
2021-03-07,1-6,android,1.2.0,40432
2021-03-07,1-6,android,1.2.1,1192513
2021-03-07,1-6,android,1.2.2,482282
2021-03-07,1-6,android,1.2.3,3475
2021-03-07,1-6,android,1.2.4,604
2021-03-07,1-6,android,1.2.5,118
2021-03-07,1-6,android,1.2.6,147
2021-03-07,1-6,android,1.2.7,220
2021-03-07,1-6,android,1.2.8,168
2021-03-07,1-6,android,1.2.9,196
2021-03-07,1-6,ios,1.2.0,277645
2021-03-07,1-6,ios,1.2.1,3737891
2021-03-07,1-6,ios,1.2.2,1680915
2021-03-07,1-6,ios,1.2.3,474
2021-03-07,1-6,ios,1.2.4,184
2021-03-07,1-6,ios,1.2.6,77
2021-03-07,1-6,ios,1.2.7,112
2021-03-07,1-6,ios,1.2.8,112
2021-03-07,1-6,ios,1.2.9,<20
2021-03-07,1-6,ios,1.4.0,24
2021-03-07,1-6,ios,1.4.1,<20
2021-03-07,13-30,android,1.2.0,267
2021-03-07,13-30,android,1.2.1,135
2021-03-07,13-30,android,1.2.2,59
2021-03-07,13-30,android,1.2.3,<20
2021-03-07,13-30,android,1.2.4,<20
2021-03-07,13-30,ios,1.2.0,21
2021-03-07,13-30,ios,1.2.1,36
2021-03-07,13-30,ios,1.2.2,26
2021-03-07,30+,android,1.2.0,<20
2021-03-07,30+,android,1.2.1,<20
2021-03-07,30+,ios,1.2.0,<20
2021-03-07,30+,ios,1.2.1,<20
2021-03-07,30+,ios,1.2.2,<20
2021-03-07,7-12,android,1.2.0,5858
2021-03-07,7-12,android,1.2.1,73282
2021-03-07,7-12,android,1.2.2,33973
2021-03-07,7-12,android,1.2.3,94
2021-03-07,7-12,android,1.2.4,25
2021-03-07,7-12,android,1.2.5,<20
2021-03-07,7-12,android,1.2.6,<20
2021-03-07,7-12,android,1.2.7,<20
2021-03-07,7-12,android,1.2.8,<20
2021-03-07,7-12,android,1.2.9,<20
2021-03-07,7-12,ios,1.2.0,90436
2021-03-07,7-12,ios,1.2.1,1515844
2021-03-07,7-12,ios,1.2.2,735499
2021-03-07,7-12,ios,1.2.3,267
2021-03-07,7-12,ios,1.2.4,126
2021-03-07,7-12,ios,1.2.6,37
2021-03-07,7-12,ios,1.2.7,64
2021-03-07,7-12,ios,1.2.8,69
2021-03-07,7-12,ios,1.2.9,<20
2021-03-07,7-12,ios,1.4.0,26
2021-03-07,7-12,ios,1.4.1,<20
2021-03-14,1-6,android,1.2.0,51737
2021-03-14,1-6,android,1.2.1,170329
2021-03-14,1-6,android,1.2.2,3173208
2021-03-14,1-6,android,1.2.3,557350
2021-03-14,1-6,android,1.2.4,1332
2021-03-14,1-6,android,1.2.5,200
2021-03-14,1-6,android,1.2.6,440
2021-03-14,1-6,android,1.2.7,415
2021-03-14,1-6,android,1.2.8,302
2021-03-14,1-6,android,1.2.9,297
2021-03-14,1-6,ios,1.2.0,357252
2021-03-14,1-6,ios,1.2.1,573225
2021-03-14,1-6,ios,1.2.2,8668923
2021-03-14,1-6,ios,1.2.3,1676974
2021-03-14,1-6,ios,1.2.4,208
2021-03-14,1-6,ios,1.2.6,70
2021-03-14,1-6,ios,1.2.7,100
2021-03-14,1-6,ios,1.2.8,108
2021-03-14,1-6,ios,1.2.9,<20
2021-03-14,1-6,ios,1.4.0,30
2021-03-14,1-6,ios,1.4.1,<20
2021-03-14,13-30,android,1.2.0,325
2021-03-14,13-30,android,1.2.1,23
2021-03-14,13-30,android,1.2.2,186
2021-03-14,13-30,android,1.2.3,35
2021-03-14,13-30,ios,1.2.0,<20
2021-03-14,13-30,ios,1.2.1,<20
2021-03-14,13-30,ios,1.2.2,221
2021-03-14,13-30,ios,1.2.3,47
2021-03-14,30+,android,1.2.0,<20
2021-03-14,30+,android,1.2.2,<20
2021-03-14,30+,android,1.2.4,<20
2021-03-14,30+,ios,1.2.0,<20
2021-03-14,30+,ios,1.2.1,<20
2021-03-14,30+,ios,1.2.2,<20
2021-03-14,30+,ios,1.2.3,<20
2021-03-14,7-12,android,1.2.0,7872
2021-03-14,7-12,android,1.2.1,7854
2021-03-14,7-12,android,1.2.2,197053
2021-03-14,7-12,android,1.2.3,37240
2021-03-14,7-12,android,1.2.4,<20
2021-03-14,7-12,android,1.2.5,<20
2021-03-14,7-12,android,1.2.6,<20
2021-03-14,7-12,android,1.2.7,<20
