date,region,appos,count
2021-04-04,AB,android,<20
2021-04-04,AB,ios,<20
2021-04-04,BC,android,<20
2021-04-04,BC,ios,<20
2021-04-04,MB,android,<20
2021-04-04,MB,ios,<20
2021-04-04,NB,android,<20
2021-04-04,NB,ios,<20
2021-04-04,NL,android,<20
2021-04-04,NL,ios,<20
2021-04-04,NT,android,<20
2021-04-04,NT,ios,<20
2021-04-04,NS,android,<20
2021-04-04,NS,ios,<20
2021-04-04,NU,android,<20
2021-04-04,NU,ios,<20
2021-04-04,ON,android,<20
2021-04-04,ON,ios,<20
2021-04-04,PE,android,<20
2021-04-04,PE,ios,<20
2021-04-04,QC,android,<20
2021-04-04,QC,ios,<20
2021-04-04,SK,android,<20
2021-04-04,SK,ios,<20
2021-04-04,YT,android,<20
2021-04-04,YT,ios,<20
2021-04-04,NPTS,android,<20
2021-04-04,NPTS,ios,<20
2021-04-11,AB,android,<20
2021-04-11,AB,ios,<20
2021-04-11,BC,android,<20
2021-04-11,BC,ios,<20
2021-04-11,MB,android,<20
2021-04-11,MB,ios,<20
2021-04-11,NB,android,<20
2021-04-11,NB,ios,<20
2021-04-11,NL,android,<20
2021-04-11,NL,ios,<20
2021-04-11,NT,android,<20
2021-04-11,NT,ios,<20
2021-04-11,NS,android,<20
2021-04-11,NS,ios,<20
2021-04-11,NU,android,<20
2021-04-11,NU,ios,<20
2021-04-11,ON,android,363
2021-04-11,ON,ios,660
2021-04-11,PE,android,<20
2021-04-11,PE,ios,<20
2021-04-11,QC,android,35
2021-04-11,QC,ios,39
2021-04-11,SK,android,20
2021-04-11,SK,ios,28
2021-04-11,YT,android,<20
2021-04-11,YT,ios,<20
2021-04-11,NPTS,android,<20
2021-04-11,NPTS,ios,25
2021-04-18,AB,android,<20
2021-04-18,AB,ios,<20
2021-04-18,BC,android,<20
2021-04-18,BC,ios,<20
2021-04-18,MB,android,<20
2021-04-18,MB,ios,30
2021-04-18,NB,android,<20
2021-04-18,NB,ios,<20
2021-04-18,NL,android,<20
2021-04-18,NL,ios,<20
2021-04-18,NT,android,<20
2021-04-18,NT,ios,<20
2021-04-18,NS,android,<20
2021-04-18,NS,ios,<20
2021-04-18,NU,android,<20
2021-04-18,NU,ios,<20
2021-04-18,ON,android,396
2021-04-18,ON,ios,856
2021-04-18,PE,android,<20
2021-04-18,PE,ios,<20
2021-04-18,QC,android,21
2021-04-18,QC,ios,34
2021-04-18,SK,android,21
2021-04-18,SK,ios,46
2021-04-18,YT,android,<20
2021-04-18,YT,ios,<20
2021-04-18,NPTS,android,<20
2021-04-18,NPTS,ios,34
