date,region,count-nombre
2020-10-04,AB,<20
2020-10-04,BC,<20
2020-10-04,MB,<20
2020-10-04,NB,<20
2020-10-04,NL,<20
2020-10-04,NT,<20
2020-10-04,NS,<20
2020-10-04,NU,<20
2020-10-04,ON,84
2020-10-04,PE,<20
2020-10-04,QC,<20
2020-10-04,SK,<20
2020-10-04,YT,<20
2020-10-04,npts-ptso,<20
2020-10-11,AB,<20
2020-10-11,BC,<20
2020-10-11,MB,<20
2020-10-11,NB,<20
2020-10-11,NL,<20
2020-10-11,NT,<20
2020-10-11,NS,<20
2020-10-11,NU,<20
2020-10-11,ON,276
2020-10-11,PE,<20
2020-10-11,QC,306
2020-10-11,SK,<20
2020-10-11,YT,<20
2020-10-11,npts-ptso,<20
2020-10-18,AB,<20
2020-10-18,BC,<20
2020-10-18,MB,<20
2020-10-18,NB,<20
2020-10-18,NL,<20
2020-10-18,NT,<20
2020-10-18,NS,<20
2020-10-18,NU,<20
2020-10-18,ON,295
2020-10-18,PE,<20
2020-10-18,QC,247
2020-10-18,SK,<20
2020-10-18,YT,<20
2020-10-18,npts-ptso,<20
2020-10-25,AB,<20
2020-10-25,BC,<20
2020-10-25,MB,41
2020-10-25,NB,<20
2020-10-25,NL,<20
2020-10-25,NT,<20
2020-10-25,NS,<20
2020-10-25,NU,<20
2020-10-25,ON,344
2020-10-25,PE,<20
2020-10-25,QC,270
2020-10-25,SK,27
2020-10-25,YT,<20
2020-10-25,npts-ptso,<20
2020-11-01,AB,<20
2020-11-01,BC,<20
2020-11-01,MB,68
2020-11-01,NB,<20
2020-11-01,NL,<20
2020-11-01,NT,<20
2020-11-01,NS,<20
2020-11-01,NU,<20
2020-11-01,ON,278
2020-11-01,PE,<20
2020-11-01,QC,203
2020-11-01,SK,39
2020-11-01,YT,<20
2020-11-01,npts-ptso,<20
2020-11-08,AB,<20
2020-11-08,BC,<20
2020-11-08,MB,86
2020-11-08,NB,<20
2020-11-08,NL,<20
2020-11-08,NT,<20
2020-11-08,NS,<20
2020-11-08,NU,<20
2020-11-08,ON,326
2020-11-08,PE,<20
2020-11-08,QC,234
2020-11-08,SK,34
2020-11-08,YT,<20
2020-11-08,npts-ptso,<20
2020-11-15,AB,<20
2020-11-15,BC,<20
2020-11-15,MB,111
2020-11-15,NB,<20
2020-11-15,NL,<20
2020-11-15,NT,<20
2020-11-15,NS,<20
2020-11-15,NU,<20
2020-11-15,ON,531
2020-11-15,PE,<20
2020-11-15,QC,274
2020-11-15,SK,70
2020-11-15,YT,<20
2020-11-15,npts-ptso,<20
2020-11-22,AB,<20
2020-11-22,BC,<20
2020-11-22,MB,101
2020-11-22,NB,<20
2020-11-22,NL,<20
2020-11-22,NT,<20
2020-11-22,NS,<20
2020-11-22,NU,<20
2020-11-22,ON,573
2020-11-22,PE,<20
2020-11-22,QC,178
2020-11-22,SK,72
2020-11-22,YT,<20
2020-11-22,npts-ptso,<20
2020-11-29,AB,<20
2020-11-29,BC,<20
2020-11-29,MB,103
2020-11-29,NB,<20
2020-11-29,NL,<20
2020-11-29,NT,<20
2020-11-29,NS,<20
2020-11-29,NU,<20
2020-11-29,ON,587
2020-11-29,PE,<20
2020-11-29,QC,191
2020-11-29,SK,78
2020-11-29,YT,<20
2020-11-29,npts-ptso,<20
2020-12-06,AB,<20
2020-12-06,BC,<20
2020-12-06,MB,99
2020-12-06,NB,<20
2020-12-06,NL,<20
2020-12-06,NT,<20
2020-12-06,NS,<20
2020-12-06,NU,<20
2020-12-06,ON,631
2020-12-06,PE,<20
2020-12-06,QC,219
2020-12-06,SK,72
2020-12-06,YT,<20
2020-12-06,npts-ptso,<20
2020-12-13,AB,<20
2020-12-13,BC,<20
2020-12-13,MB,63
2020-12-13,NB,<20
2020-12-13,NL,<20
2020-12-13,NT,<20
2020-12-13,NS,<20
2020-12-13,NU,<20
2020-12-13,ON,650
2020-12-13,PE,<20
2020-12-13,QC,228
2020-12-13,SK,62
2020-12-13,YT,<20
2020-12-13,npts-ptso,<20
2020-12-20,AB,<20
2020-12-20,BC,<20
2020-12-20,MB,41
2020-12-20,NB,<20
2020-12-20,NL,<20
2020-12-20,NT,<20
2020-12-20,NS,<20
2020-12-20,NU,<20
2020-12-20,ON,837
2020-12-20,PE,<20
2020-12-20,QC,268
2020-12-20,SK,56
2020-12-20,YT,<20
2020-12-20,npts-ptso,<20
2020-12-27,AB,<20
2020-12-27,BC,<20
2020-12-27,MB,34
2020-12-27,NB,<20
2020-12-27,NL,<20
2020-12-27,NT,<20
2020-12-27,NS,<20
2020-12-27,NU,<20
2020-12-27,ON,921
2020-12-27,PE,<20
2020-12-27,QC,333
2020-12-27,SK,38
2020-12-27,YT,<20
2020-12-27,npts-ptso,<20
2021-01-03,AB,<20
2021-01-03,BC,<20
2021-01-03,MB,43
2021-01-03,NB,<20
2021-01-03,NL,<20
2021-01-03,NT,<20
2021-01-03,NS,<20
2021-01-03,NU,<20
2021-01-03,ON,1330
2021-01-03,PE,<20
2021-01-03,QC,369
2021-01-03,SK,42
2021-01-03,YT,<20
2021-01-03,npts-ptso,<20
2021-01-10,AB,<20
2021-01-10,BC,<20
2021-01-10,MB,41
2021-01-10,NB,<20
2021-01-10,NL,<20
2021-01-10,NT,<20
2021-01-10,NS,<20
2021-01-10,NU,<20
2021-01-10,ON,1236
2021-01-10,PE,<20
2021-01-10,QC,310
2021-01-10,SK,85
2021-01-10,YT,<20
2021-01-10,npts-ptso,<20
2021-01-17,AB,<20
2021-01-17,BC,<20
2021-01-17,MB,20
2021-01-17,NB,20
2021-01-17,NL,<20
2021-01-17,NT,<20
2021-01-17,NS,<20
2021-01-17,NU,<20
2021-01-17,ON,1010
2021-01-17,PE,<20
2021-01-17,QC,193
2021-01-17,SK,69
2021-01-17,YT,<20
2021-01-17,npts-ptso,<20
2021-01-24,AB,<20
2021-01-24,BC,<20
2021-01-24,MB,28
2021-01-24,NB,<20
2021-01-24,NL,<20
2021-01-24,NT,<20
2021-01-24,NS,<20
2021-01-24,NU,<20
2021-01-24,ON,751
2021-01-24,PE,<20
2021-01-24,QC,179
2021-01-24,SK,71
2021-01-24,YT,<20
2021-01-24,npts-ptso,<20
2021-01-31,AB,<20
2021-01-31,BC,<20
2021-01-31,MB,<20
2021-01-31,NB,<20
2021-01-31,NL,<20
2021-01-31,NT,<20
2021-01-31,NS,<20
2021-01-31,NU,<20
2021-01-31,ON,560
2021-01-31,PE,<20
2021-01-31,QC,116
2021-01-31,SK,106
2021-01-31,YT,<20
2021-01-31,npts-ptso,<20
2021-02-07,AB,<20
2021-02-07,BC,<20
2021-02-07,MB,<20
2021-02-07,NB,<20
2021-02-07,NL,<20
2021-02-07,NT,<20
2021-02-07,NS,<20
2021-02-07,NU,<20
2021-02-07,ON,407
2021-02-07,PE,<20
2021-02-07,QC,84
2021-02-07,SK,133
2021-02-07,YT,<20
2021-02-07,npts-ptso,<20
2021-02-14,AB,<20
2021-02-14,BC,<20
2021-02-14,MB,<20
2021-02-14,NB,<20
