date,os-se,count-nombre
2021-04-25,android,364
2021-04-25,ios,<20
2021-05-02,android,555155
2021-05-02,ios,<20
2021-05-09,android,637434
2021-05-09,ios,<20
2021-05-16,android,636932
2021-05-16,ios,<20
2021-05-23,android,638554
2021-05-23,ios,338239
2021-05-30,android,648210
2021-05-30,ios,2866963
2021-06-06,android,779168
2021-06-06,ios,2986797
2021-06-13,android,821334
2021-06-13,ios,3087833
2021-06-20,android,843779
2021-06-20,ios,3157101
2021-06-27,android,840422
2021-06-27,ios,3163777
2021-07-04,android,831412
2021-07-04,ios,2938936
2021-07-11,android,823747
2021-07-11,ios,2923563
2021-07-18,android,813585
2021-07-18,ios,2808512
2021-07-25,android,802187
2021-07-25,ios,2711415
2021-08-01,android,787294
2021-08-01,ios,2675910
2021-08-08,android,782938
2021-08-08,ios,2041099
2021-08-15,android,785692
2021-08-15,ios,955520
