date,os-se,app_version-version_appli,count-nombre
2021-02-28,android,1.2.0,4432
2021-02-28,android,1.2.1,4444
2021-02-28,android,1.2.2,<20
2021-02-28,android,1.2.3,<20
2021-02-28,android,1.2.4,<20
2021-02-28,android,1.2.5,<20
2021-02-28,android,1.2.7,<20
2021-02-28,android,1.2.8,<20
2021-02-28,android,1.2.9,<20
2021-02-28,ios,1.2.0,6710
2021-02-28,ios,1.2.1,6515
2021-02-28,ios,1.2.2,<20
2021-02-28,ios,1.2.3,<20
2021-02-28,ios,1.2.4,<20
2021-03-07,android,1.2.0,498
2021-03-07,android,1.2.1,10569
2021-03-07,android,1.2.2,3837
2021-03-07,android,1.2.3,58
2021-03-07,android,1.2.4,<20
2021-03-07,android,1.2.5,<20
2021-03-07,android,1.2.6,<20
2021-03-07,android,1.2.7,<20
2021-03-07,android,1.2.8,<20
2021-03-07,android,1.2.9,29
2021-03-07,ios,1.2.0,447
2021-03-07,ios,1.2.1,14330
2021-03-07,ios,1.2.2,6124
2021-03-07,ios,1.2.4,<20
2021-03-07,ios,1.2.7,<20
2021-03-07,ios,1.2.8,<20
2021-03-14,android,1.2.0,188
2021-03-14,android,1.2.1,285
2021-03-14,android,1.2.2,8493
2021-03-14,android,1.2.3,4250
2021-03-14,android,1.2.4,21
2021-03-14,android,1.2.5,<20
2021-03-14,android,1.2.6,<20
2021-03-14,android,1.2.7,<20
2021-03-14,android,1.2.8,<20
2021-03-14,android,1.2.9,27
2021-03-14,ios,1.2.0,203
2021-03-14,ios,1.2.1,261
2021-03-14,ios,1.2.2,13107
2021-03-14,ios,1.2.3,5653
2021-03-14,ios,1.2.4,<20
2021-03-14,ios,1.2.7,<20
2021-03-14,ios,1.2.8,<20
2021-03-21,android,1.2.0,121
2021-03-21,android,1.2.1,108
2021-03-21,android,1.2.2,291
2021-03-21,android,1.2.3,14678
2021-03-21,android,1.2.4,45
2021-03-21,android,1.2.5,<20
2021-03-21,android,1.2.6,<20
2021-03-21,android,1.2.7,28
2021-03-21,android,1.2.8,21
2021-03-21,android,1.2.9,46
2021-03-21,ios,1.2.0,148
2021-03-21,ios,1.2.1,125
2021-03-21,ios,1.2.2,345
2021-03-21,ios,1.2.3,19492
2021-03-21,ios,1.2.4,<20
2021-03-21,ios,1.2.8,<20
2021-03-21,ios,1.4.0,<20
2021-03-28,android,1.2.0,120
2021-03-28,android,1.2.1,75
2021-03-28,android,1.2.2,90
2021-03-28,android,1.2.3,11864
2021-03-28,android,1.2.4,4208
2021-03-28,android,1.2.5,<20
2021-03-28,android,1.2.6,<20
2021-03-28,android,1.2.7,23
2021-03-28,android,1.2.8,22
2021-03-28,android,1.2.9,40
2021-03-28,ios,1.2.0,123
2021-03-28,ios,1.2.1,76
2021-03-28,ios,1.2.2,144
2021-03-28,ios,1.2.3,12871
2021-03-28,ios,1.2.4,5730
2021-03-28,ios,1.2.7,<20
2021-04-04,android,1.2.0,69
2021-04-04,android,1.2.1,40
2021-04-04,android,1.2.2,55
2021-04-04,android,1.2.3,433
2021-04-04,android,1.2.4,12531
2021-04-04,android,1.2.5,1761
2021-04-04,android,1.2.6,42
2021-04-04,android,1.2.7,49
2021-04-04,android,1.2.8,32
2021-04-04,android,1.2.9,45
2021-04-04,ios,1.2.0,78
2021-04-04,ios,1.2.1,55
2021-04-04,ios,1.2.2,67
2021-04-04,ios,1.2.3,476
2021-04-04,ios,1.2.4,20585
2021-04-04,ios,1.2.6,<20
2021-04-04,ios,1.2.8,<20
2021-04-04,ios,1.2.9,<20
2021-04-11,android,1.2.0,56
2021-04-11,android,1.2.1,33
2021-04-11,android,1.2.2,36
2021-04-11,android,1.2.3,197
2021-04-11,android,1.2.4,3415
2021-04-11,android,1.2.5,3028
2021-04-11,android,1.2.6,8249
2021-04-11,android,1.2.7,164
2021-04-11,android,1.2.8,38
2021-04-11,android,1.2.9,69
2021-04-11,ios,1.2.0,84
2021-04-11,ios,1.2.1,56
2021-04-11,ios,1.2.2,75
2021-04-11,ios,1.2.3,233
2021-04-11,ios,1.2.4,9779
2021-04-11,ios,1.2.6,13748
2021-04-11,ios,1.2.7,<20
2021-04-11,ios,1.2.8,<20
2021-04-18,android,1.2.0,49
2021-04-18,android,1.2.1,25
2021-04-18,android,1.2.2,30
2021-04-18,android,1.2.3,111
2021-04-18,android,1.2.4,165
2021-04-18,android,1.2.5,58
2021-04-18,android,1.2.6,2348
2021-04-18,android,1.2.7,9941
2021-04-18,android,1.2.8,49
2021-04-18,android,1.2.9,75
2021-04-18,android,1.4.2,<20
2021-04-18,ios,1.2.0,60
2021-04-18,ios,1.2.1,42
2021-04-18,ios,1.2.2,49
2021-04-18,ios,1.2.3,132
2021-04-18,ios,1.2.4,333
2021-04-18,ios,1.2.6,3803
2021-04-18,ios,1.2.7,18834
2021-04-18,ios,1.2.8,<20
2021-04-25,android,1.2.0,38
2021-04-25,android,1.2.1,<20
2021-04-25,android,1.2.2,<20
2021-04-25,android,1.2.3,69
2021-04-25,android,1.2.4,80
2021-04-25,android,1.2.5,23
2021-04-25,android,1.2.6,78
2021-04-25,android,1.2.7,11129
2021-04-25,android,1.2.8,351
2021-04-25,android,1.2.9,76
2021-04-25,ios,1.2.0,59
2021-04-25,ios,1.2.1,23
2021-04-25,ios,1.2.2,30
2021-04-25,ios,1.2.3,113
2021-04-25,ios,1.2.4,160
2021-04-25,ios,1.2.6,148
2021-04-25,ios,1.2.7,20641
2021-04-25,ios,1.2.8,211
2021-04-25,ios,1.4.0,<20
2021-04-25,ios,1.4.1,<20
2021-05-02,android,1.2.0,27
2021-05-02,android,1.2.1,<20
2021-05-02,android,1.2.2,<20
2021-05-02,android,1.2.3,53
2021-05-02,android,1.2.4,51
2021-05-02,android,1.2.5,<20
2021-05-02,android,1.2.6,35
2021-05-02,android,1.2.7,1017
2021-05-02,android,1.2.8,9785
2021-05-02,android,1.2.9,146
2021-05-02,ios,1.2.0,50
2021-05-02,ios,1.2.1,40
2021-05-02,ios,1.2.2,22
2021-05-02,ios,1.2.3,76
2021-05-02,ios,1.2.4,104
2021-05-02,ios,1.2.6,64
2021-05-02,ios,1.2.7,1471
2021-05-02,ios,1.2.8,18198
2021-05-02,ios,1.2.9,<20
2021-05-02,ios,1.4.0,<20
2021-05-09,android,1.2.0,<20
2021-05-09,android,1.2.1,<20
2021-05-09,android,1.2.2,<20
2021-05-09,android,1.2.3,30
2021-05-09,android,1.2.4,42
2021-05-09,android,1.2.5,<20
2021-05-09,android,1.2.6,21
2021-05-09,android,1.2.7,133
2021-05-09,android,1.2.8,9258
2021-05-09,android,1.2.9,240
2021-05-09,android,1.4.2,<20
2021-05-09,ios,1.2.0,42
2021-05-09,ios,1.2.1,26
2021-05-09,ios,1.2.2,21
2021-05-09,ios,1.2.3,55
2021-05-09,ios,1.2.4,67
2021-05-09,ios,1.2.6,38
2021-05-09,ios,1.2.7,165
2021-05-09,ios,1.2.8,16283
2021-05-09,ios,1.2.9,<20
2021-05-09,ios,1.4.0,<20
2021-05-16,android,1.2.0,<20
2021-05-16,android,1.2.1,<20
2021-05-16,android,1.2.2,<20
2021-05-16,android,1.2.3,39
2021-05-16,android,1.2.4,21
2021-05-16,android,1.2.5,<20
