date,region,os-se,count-nombre
2021-02-28,AB,android,3690
2021-02-28,AB,ios,27685
2021-02-28,BC,android,9960
2021-02-28,BC,ios,55823
2021-02-28,MB,android,7693
2021-02-28,MB,ios,47904
2021-02-28,NB,android,7234
2021-02-28,NB,ios,27355
2021-02-28,NL,android,9313
2021-02-28,NL,ios,32084
2021-02-28,NT,android,166
2021-02-28,NT,ios,871
2021-02-28,NS,android,7263
2021-02-28,NS,ios,29986
2021-02-28,NU,android,82
2021-02-28,NU,ios,198
2021-02-28,ON,android,86939
2021-02-28,ON,ios,366187
2021-02-28,PE,android,1142
2021-02-28,PE,ios,4915
2021-02-28,QC,android,47470
2021-02-28,QC,ios,173912
2021-02-28,SK,android,3986
2021-02-28,SK,ios,28832
2021-02-28,YT,android,48
2021-02-28,YT,ios,293
2021-02-28,npts-ptso,android,9297
2021-02-28,npts-ptso,ios,65481
2021-03-07,AB,android,11227
2021-03-07,AB,ios,73779
2021-03-07,BC,android,22546
2021-03-07,BC,ios,148424
2021-03-07,MB,android,18746
2021-03-07,MB,ios,98496
2021-03-07,NB,android,18676
2021-03-07,NB,ios,57368
2021-03-07,NL,android,23223
2021-03-07,NL,ios,90978
2021-03-07,NT,android,424
2021-03-07,NT,ios,1851
2021-03-07,NS,android,25046
2021-03-07,NS,ios,83799
2021-03-07,NU,android,145
2021-03-07,NU,ios,440
2021-03-07,ON,android,287710
2021-03-07,ON,ios,1022893
2021-03-07,PE,android,4538
2021-03-07,PE,ios,14531
2021-03-07,QC,android,164698
2021-03-07,QC,ios,486283
2021-03-07,SK,android,12940
2021-03-07,SK,ios,58579
2021-03-07,YT,android,167
2021-03-07,YT,ios,851
2021-03-07,npts-ptso,android,25494
2021-03-07,npts-ptso,ios,184591
2021-03-14,AB,android,11920
2021-03-14,AB,ios,75913
2021-03-14,BC,android,23935
2021-03-14,BC,ios,152568
2021-03-14,MB,android,20661
2021-03-14,MB,ios,101581
2021-03-14,NB,android,20419
2021-03-14,NB,ios,59282
2021-03-14,NL,android,24508
2021-03-14,NL,ios,93751
2021-03-14,NT,android,467
2021-03-14,NT,ios,1936
2021-03-14,NS,android,26647
2021-03-14,NS,ios,86642
2021-03-14,NU,android,150
2021-03-14,NU,ios,470
2021-03-14,ON,android,315996
2021-03-14,ON,ios,1059270
2021-03-14,PE,android,4659
2021-03-14,PE,ios,15052
2021-03-14,QC,android,182603
2021-03-14,QC,ios,501383
2021-03-14,SK,android,13959
2021-03-14,SK,ios,60527
2021-03-14,YT,android,181
2021-03-14,YT,ios,883
2021-03-14,npts-ptso,android,30856
2021-03-14,npts-ptso,ios,195217
2021-03-21,AB,android,11938
2021-03-21,AB,ios,76166
2021-03-21,BC,android,23917
2021-03-21,BC,ios,153280
2021-03-21,MB,android,20858
2021-03-21,MB,ios,102408
2021-03-21,NB,android,20600
2021-03-21,NB,ios,59689
2021-03-21,NL,android,24191
2021-03-21,NL,ios,94155
2021-03-21,NT,android,475
2021-03-21,NT,ios,1982
2021-03-21,NS,android,26911
2021-03-21,NS,ios,87521
2021-03-21,NU,android,160
2021-03-21,NU,ios,475
2021-03-21,ON,android,320711
2021-03-21,ON,ios,1072168
2021-03-21,PE,android,4566
2021-03-21,PE,ios,15162
2021-03-21,QC,android,184353
2021-03-21,QC,ios,504200
2021-03-21,SK,android,14312
2021-03-21,SK,ios,61174
2021-03-21,YT,android,182
2021-03-21,YT,ios,900
2021-03-21,npts-ptso,android,32309
2021-03-21,npts-ptso,ios,202867
2021-03-28,AB,android,12032
2021-03-28,AB,ios,75885
2021-03-28,BC,android,24106
2021-03-28,BC,ios,152969
2021-03-28,MB,android,21444
2021-03-28,MB,ios,102652
2021-03-28,NB,android,21321
2021-03-28,NB,ios,59834
2021-03-28,NL,android,24097
2021-03-28,NL,ios,94123
2021-03-28,NT,android,504
2021-03-28,NT,ios,2008
2021-03-28,NS,android,28134
2021-03-28,NS,ios,87922
2021-03-28,NU,android,175
2021-03-28,NU,ios,474
2021-03-28,ON,android,331197
2021-03-28,ON,ios,1078846
2021-03-28,PE,android,4720
2021-03-28,PE,ios,15201
2021-03-28,QC,android,188572
2021-03-28,QC,ios,503684
2021-03-28,SK,android,15111
2021-03-28,SK,ios,61442
2021-03-28,YT,android,191
2021-03-28,YT,ios,904
2021-03-28,npts-ptso,android,33566
2021-03-28,npts-ptso,ios,208950
2021-04-04,AB,android,12352
2021-04-04,AB,ios,75461
2021-04-04,BC,android,24678
2021-04-04,BC,ios,152659
2021-04-04,MB,android,22030
2021-04-04,MB,ios,102588
2021-04-04,NB,android,21967
2021-04-04,NB,ios,59806
2021-04-04,NL,android,24347
2021-04-04,NL,ios,93732
2021-04-04,NT,android,538
2021-04-04,NT,ios,2030
2021-04-04,NS,android,28912
2021-04-04,NS,ios,88091
2021-04-04,NU,android,174
2021-04-04,NU,ios,482
2021-04-04,ON,android,341902
2021-04-04,ON,ios,1083076
2021-04-04,PE,android,4813
2021-04-04,PE,ios,15203
2021-04-04,QC,android,193429
2021-04-04,QC,ios,502458
2021-04-04,SK,android,15765
2021-04-04,SK,ios,61637
2021-04-04,YT,android,201
2021-04-04,YT,ios,897
2021-04-04,npts-ptso,android,34557
2021-04-04,npts-ptso,ios,214508
2021-04-11,AB,android,12718
2021-04-11,AB,ios,75170
2021-04-11,BC,android,25291
2021-04-11,BC,ios,152368
2021-04-11,MB,android,23054
2021-04-11,MB,ios,102564
2021-04-11,NB,android,22573
2021-04-11,NB,ios,59764
2021-04-11,NL,android,24881
2021-04-11,NL,ios,93474
2021-04-11,NT,android,564
2021-04-11,NT,ios,2037
2021-04-11,NS,android,29489
2021-04-11,NS,ios,88234
2021-04-11,NU,android,186
2021-04-11,NU,ios,484
2021-04-11,ON,android,356379
2021-04-11,ON,ios,1088552
2021-04-11,PE,android,4884
2021-04-11,PE,ios,15205
2021-04-11,QC,android,197540
2021-04-11,QC,ios,501725
2021-04-11,SK,android,16332
2021-04-11,SK,ios,61749
2021-04-11,YT,android,206
2021-04-11,YT,ios,896
2021-04-11,npts-ptso,android,35750
2021-04-11,npts-ptso,ios,218204
2021-04-18,AB,android,13128
2021-04-18,AB,ios,74905
2021-04-18,BC,android,26029
2021-04-18,BC,ios,152043
2021-04-18,MB,android,23849
2021-04-18,MB,ios,102570
2021-04-18,NB,android,23506
2021-04-18,NB,ios,59917
2021-04-18,NL,android,25709
2021-04-18,NL,ios,93434
2021-04-18,NT,android,605
2021-04-18,NT,ios,2041
2021-04-18,NS,android,30150
2021-04-18,NS,ios,88203
2021-04-18,NU,android,213
2021-04-18,NU,ios,494
2021-04-18,ON,android,364834
2021-04-18,ON,ios,1092831
2021-04-18,PE,android,5021
2021-04-18,PE,ios,15180
2021-04-18,QC,android,201802
2021-04-18,QC,ios,499950
2021-04-18,SK,android,16885
2021-04-18,SK,ios,61844
2021-04-18,YT,android,210
2021-04-18,YT,ios,899
2021-04-18,npts-ptso,android,36079
2021-04-18,npts-ptso,ios,220597
2021-04-25,AB,android,13294
2021-04-25,AB,ios,74470
2021-04-25,BC,android,26217
2021-04-25,BC,ios,151418
2021-04-25,MB,android,24331
2021-04-25,MB,ios,102581
2021-04-25,NB,android,23701
2021-04-25,NB,ios,59785
2021-04-25,NL,android,25834
2021-04-25,NL,ios,93107
2021-04-25,NT,android,628
2021-04-25,NT,ios,2066
2021-04-25,NS,android,31815
2021-04-25,NS,ios,89138
2021-04-25,NU,android,245
2021-04-25,NU,ios,532
2021-04-25,ON,android,369815
2021-04-25,ON,ios,1095509
2021-04-25,PE,android,5064
2021-04-25,PE,ios,15171
2021-04-25,QC,android,201505
2021-04-25,QC,ios,497384
2021-04-25,SK,android,17141
2021-04-25,SK,ios,61831
2021-04-25,YT,android,211
2021-04-25,YT,ios,898
2021-04-25,npts-ptso,android,36579
2021-04-25,npts-ptso,ios,222968
2021-05-02,AB,android,13308
2021-05-02,AB,ios,74041
2021-05-02,BC,android,26205
2021-05-02,BC,ios,150445
2021-05-02,MB,android,24664
2021-05-02,MB,ios,102616
2021-05-02,NB,android,24084
2021-05-02,NB,ios,59947
2021-05-02,NL,android,25703
2021-05-02,NL,ios,92721
2021-05-02,NT,android,672
2021-05-02,NT,ios,2146
2021-05-02,NS,android,34531
2021-05-02,NS,ios,92722
2021-05-02,NU,android,250
2021-05-02,NU,ios,544
2021-05-02,ON,android,370526
2021-05-02,ON,ios,1094145
2021-05-02,PE,android,5091
2021-05-02,PE,ios,15159
2021-05-02,QC,android,199440
2021-05-02,QC,ios,493782
2021-05-02,SK,android,17260
2021-05-02,SK,ios,61731
2021-05-02,YT,android,214
2021-05-02,YT,ios,892
2021-05-02,npts-ptso,android,36752
2021-05-02,npts-ptso,ios,225426
2021-05-09,AB,android,13370
2021-05-09,AB,ios,73672
2021-05-09,BC,android,25999
2021-05-09,BC,ios,149346
2021-05-09,MB,android,24909
2021-05-09,MB,ios,102462
2021-05-09,NB,android,24286
2021-05-09,NB,ios,60004
2021-05-09,NL,android,25850
2021-05-09,NL,ios,92551
2021-05-09,NT,android,735
2021-05-09,NT,ios,2270
2021-05-09,NS,android,35508
2021-05-09,NS,ios,94387
2021-05-09,NU,android,244
2021-05-09,NU,ios,548
