date,count-nombre
2021-02-28,166
2021-03-07,261
2021-03-14,289
2021-03-21,333
2021-03-28,424
2021-04-04,539
2021-04-11,691
2021-04-18,758
2021-04-25,707
2021-05-02,543
2021-05-09,411
2021-05-16,371
2021-05-23,265
2021-05-30,193
2021-06-06,118
2021-06-13,83
2021-06-20,41
2021-06-27,<20
2021-07-04,<20
2021-07-11,<20
2021-07-18,<20
2021-07-25,<20
2021-08-01,<20
2021-08-08,36
2021-08-15,56
2021-08-22,67
2021-08-29,103
2021-09-05,104
2021-09-12,103
2021-09-19,107
2021-09-26,93
2021-10-03,64
2021-10-10,101
2021-10-17,80
2021-10-24,66
2021-10-31,74
2021-11-07,40
2021-11-14,103
2021-11-21,121
2021-11-28,132
2021-12-05,215
2021-12-12,373
2021-12-19,1149
