date,region,date_provided-date_fournie,count-nombre
2021-03-28,AB,date,<20
2021-03-28,AB,no_date-date_so,<20
2021-03-28,BC,date,<20
2021-03-28,BC,no_date-date_so,<20
2021-03-28,MB,date,<20
2021-03-28,MB,no_date-date_so,<20
2021-03-28,NB,date,<20
2021-03-28,NB,no_date-date_so,<20
2021-03-28,NL,date,<20
2021-03-28,NL,no_date-date_so,<20
2021-03-28,NT,date,<20
2021-03-28,NT,no_date-date_so,<20
2021-03-28,NS,date,<20
2021-03-28,NS,no_date-date_so,<20
2021-03-28,NU,date,<20
2021-03-28,NU,no_date-date_so,<20
2021-03-28,ON,date,<20
2021-03-28,ON,no_date-date_so,<20
2021-03-28,PE,date,<20
2021-03-28,PE,no_date-date_so,<20
2021-03-28,QC,date,<20
2021-03-28,QC,no_date-date_so,<20
2021-03-28,SK,date,<20
2021-03-28,SK,no_date-date_so,<20
2021-03-28,YT,date,<20
2021-03-28,YT,no_date-date_so,<20
2021-03-28,npts-ptso,date,<20
2021-03-28,npts-ptso,no_date-date_so,<20
2021-04-04,AB,date,<20
2021-04-04,AB,no_date-date_so,<20
2021-04-04,BC,date,<20
2021-04-04,BC,no_date-date_so,<20
2021-04-04,MB,date,<20
2021-04-04,MB,no_date-date_so,<20
2021-04-04,NB,date,<20
2021-04-04,NB,no_date-date_so,<20
2021-04-04,NL,date,<20
2021-04-04,NL,no_date-date_so,<20
2021-04-04,NT,date,<20
2021-04-04,NT,no_date-date_so,<20
2021-04-04,NS,date,<20
2021-04-04,NS,no_date-date_so,<20
2021-04-04,NU,date,<20
2021-04-04,NU,no_date-date_so,<20
2021-04-04,ON,date,<20
2021-04-04,ON,no_date-date_so,<20
2021-04-04,PE,date,<20
2021-04-04,PE,no_date-date_so,<20
2021-04-04,QC,date,<20
2021-04-04,QC,no_date-date_so,<20
2021-04-04,SK,date,<20
2021-04-04,SK,no_date-date_so,<20
2021-04-04,YT,date,<20
2021-04-04,YT,no_date-date_so,<20
2021-04-04,npts-ptso,date,<20
2021-04-04,npts-ptso,no_date-date_so,<20
2021-04-11,AB,date,<20
2021-04-11,AB,no_date-date_so,<20
2021-04-11,BC,date,<20
2021-04-11,BC,no_date-date_so,<20
2021-04-11,MB,date,<20
2021-04-11,MB,no_date-date_so,<20
2021-04-11,NB,date,<20
2021-04-11,NB,no_date-date_so,<20
2021-04-11,NL,date,<20
2021-04-11,NL,no_date-date_so,<20
2021-04-11,NT,date,<20
2021-04-11,NT,no_date-date_so,<20
2021-04-11,NS,date,<20
2021-04-11,NS,no_date-date_so,<20
2021-04-11,NU,date,<20
2021-04-11,NU,no_date-date_so,<20
2021-04-11,ON,date,741
2021-04-11,ON,no_date-date_so,306
2021-04-11,PE,date,<20
2021-04-11,PE,no_date-date_so,<20
2021-04-11,QC,date,38
2021-04-11,QC,no_date-date_so,36
2021-04-11,SK,date,33
2021-04-11,SK,no_date-date_so,<20
2021-04-11,YT,date,<20
2021-04-11,YT,no_date-date_so,<20
2021-04-11,npts-ptso,date,33
2021-04-11,npts-ptso,no_date-date_so,<20
2021-04-18,AB,date,<20
2021-04-18,AB,no_date-date_so,<20
2021-04-18,BC,date,<20
2021-04-18,BC,no_date-date_so,<20
2021-04-18,MB,date,35
2021-04-18,MB,no_date-date_so,<20
2021-04-18,NB,date,<20
2021-04-18,NB,no_date-date_so,<20
2021-04-18,NL,date,<20
2021-04-18,NL,no_date-date_so,<20
2021-04-18,NT,date,<20
2021-04-18,NT,no_date-date_so,<20
2021-04-18,NS,date,<20
2021-04-18,NS,no_date-date_so,<20
2021-04-18,NU,date,<20
2021-04-18,NU,no_date-date_so,<20
2021-04-18,ON,date,1189
2021-04-18,ON,no_date-date_so,86
2021-04-18,PE,date,<20
2021-04-18,PE,no_date-date_so,<20
2021-04-18,QC,date,54
2021-04-18,QC,no_date-date_so,<20
2021-04-18,SK,date,59
2021-04-18,SK,no_date-date_so,<20
2021-04-18,YT,date,<20
2021-04-18,YT,no_date-date_so,<20
2021-04-18,npts-ptso,date,49
2021-04-18,npts-ptso,no_date-date_so,<20
2021-04-25,AB,date,<20
2021-04-25,AB,no_date-date_so,<20
2021-04-25,BC,date,<20
2021-04-25,BC,no_date-date_so,<20
2021-04-25,MB,date,75
2021-04-25,MB,no_date-date_so,<20
2021-04-25,NB,date,<20
2021-04-25,NB,no_date-date_so,<20
2021-04-25,NL,date,<20
2021-04-25,NL,no_date-date_so,<20
2021-04-25,NT,date,<20
2021-04-25,NT,no_date-date_so,<20
2021-04-25,NS,date,25
2021-04-25,NS,no_date-date_so,<20
2021-04-25,NU,date,<20
2021-04-25,NU,no_date-date_so,<20
2021-04-25,ON,date,900
2021-04-25,ON,no_date-date_so,70
2021-04-25,PE,date,<20
2021-04-25,PE,no_date-date_so,<20
2021-04-25,QC,date,48
2021-04-25,QC,no_date-date_so,<20
2021-04-25,SK,date,55
2021-04-25,SK,no_date-date_so,<20
2021-04-25,YT,date,<20
2021-04-25,YT,no_date-date_so,<20
2021-04-25,npts-ptso,date,49
2021-04-25,npts-ptso,no_date-date_so,<20
2021-05-02,AB,date,<20
2021-05-02,AB,no_date-date_so,<20
2021-05-02,BC,date,<20
2021-05-02,BC,no_date-date_so,<20
2021-05-02,MB,date,55
2021-05-02,MB,no_date-date_so,<20
2021-05-02,NB,date,<20
2021-05-02,NB,no_date-date_so,<20
2021-05-02,NL,date,<20
2021-05-02,NL,no_date-date_so,<20
2021-05-02,NT,date,<20
2021-05-02,NT,no_date-date_so,<20
2021-05-02,NS,date,22
2021-05-02,NS,no_date-date_so,<20
2021-05-02,NU,date,<20
2021-05-02,NU,no_date-date_so,<20
2021-05-02,ON,date,766
2021-05-02,ON,no_date-date_so,42
2021-05-02,PE,date,<20
2021-05-02,PE,no_date-date_so,<20
2021-05-02,QC,date,37
2021-05-02,QC,no_date-date_so,<20
2021-05-02,SK,date,58
2021-05-02,SK,no_date-date_so,<20
2021-05-02,YT,date,<20
2021-05-02,YT,no_date-date_so,<20
2021-05-02,npts-ptso,date,37
2021-05-02,npts-ptso,no_date-date_so,<20
2021-05-09,AB,date,<20
2021-05-09,AB,no_date-date_so,<20
2021-05-09,BC,date,<20
2021-05-09,BC,no_date-date_so,<20
2021-05-09,MB,date,76
2021-05-09,MB,no_date-date_so,<20
2021-05-09,NB,date,<20
2021-05-09,NB,no_date-date_so,<20
2021-05-09,NL,date,<20
2021-05-09,NL,no_date-date_so,<20
2021-05-09,NT,date,<20
2021-05-09,NT,no_date-date_so,<20
2021-05-09,NS,date,<20
2021-05-09,NS,no_date-date_so,<20
2021-05-09,NU,date,<20
2021-05-09,NU,no_date-date_so,<20
2021-05-09,ON,date,605
2021-05-09,ON,no_date-date_so,39
2021-05-09,PE,date,<20
2021-05-09,PE,no_date-date_so,<20
2021-05-09,QC,date,29
2021-05-09,QC,no_date-date_so,<20
2021-05-09,SK,date,50
2021-05-09,SK,no_date-date_so,<20
2021-05-09,YT,date,<20
2021-05-09,YT,no_date-date_so,<20
2021-05-09,npts-ptso,date,26
2021-05-09,npts-ptso,no_date-date_so,<20
2021-05-16,AB,date,<20
2021-05-16,AB,no_date-date_so,<20
2021-05-16,BC,date,<20
2021-05-16,BC,no_date-date_so,<20
2021-05-16,MB,date,107
2021-05-16,MB,no_date-date_so,<20
2021-05-16,NB,date,<20
2021-05-16,NB,no_date-date_so,<20
2021-05-16,NL,date,<20
2021-05-16,NL,no_date-date_so,<20
2021-05-16,NT,date,<20
2021-05-16,NT,no_date-date_so,<20
2021-05-16,NS,date,<20
2021-05-16,NS,no_date-date_so,<20
2021-05-16,NU,date,<20
2021-05-16,NU,no_date-date_so,<20
2021-05-16,ON,date,424
2021-05-16,ON,no_date-date_so,33
2021-05-16,PE,date,<20
2021-05-16,PE,no_date-date_so,<20
2021-05-16,QC,date,<20
2021-05-16,QC,no_date-date_so,<20
2021-05-16,SK,date,58
2021-05-16,SK,no_date-date_so,<20
2021-05-16,YT,date,<20
2021-05-16,YT,no_date-date_so,<20
2021-05-16,npts-ptso,date,24
2021-05-16,npts-ptso,no_date-date_so,<20
2021-05-23,AB,date,<20
2021-05-23,AB,no_date-date_so,<20
2021-05-23,BC,date,<20
2021-05-23,BC,no_date-date_so,<20
2021-05-23,MB,date,112
2021-05-23,MB,no_date-date_so,<20
2021-05-23,NB,date,<20
2021-05-23,NB,no_date-date_so,<20
2021-05-23,NL,date,<20
2021-05-23,NL,no_date-date_so,<20
2021-05-23,NT,date,<20
2021-05-23,NT,no_date-date_so,<20
2021-05-23,NS,date,<20
2021-05-23,NS,no_date-date_so,<20
2021-05-23,NU,date,<20
2021-05-23,NU,no_date-date_so,<20
2021-05-23,ON,date,288
2021-05-23,ON,no_date-date_so,<20
2021-05-23,PE,date,<20
2021-05-23,PE,no_date-date_so,<20
2021-05-23,QC,date,<20
2021-05-23,QC,no_date-date_so,<20
2021-05-23,SK,date,72
2021-05-23,SK,no_date-date_so,<20
2021-05-23,YT,date,<20
2021-05-23,YT,no_date-date_so,<20
2021-05-23,npts-ptso,date,22
2021-05-23,npts-ptso,no_date-date_so,<20
2021-05-30,AB,date,<20
2021-05-30,AB,no_date-date_so,<20
2021-05-30,BC,date,<20
2021-05-30,BC,no_date-date_so,<20
2021-05-30,MB,date,55
2021-05-30,MB,no_date-date_so,<20
2021-05-30,NB,date,<20
2021-05-30,NB,no_date-date_so,<20
2021-05-30,NL,date,<20
2021-05-30,NL,no_date-date_so,<20
2021-05-30,NT,date,<20
2021-05-30,NT,no_date-date_so,<20
2021-05-30,NS,date,<20
2021-05-30,NS,no_date-date_so,<20
2021-05-30,NU,date,<20
2021-05-30,NU,no_date-date_so,<20
2021-05-30,ON,date,174
2021-05-30,ON,no_date-date_so,<20
2021-05-30,PE,date,<20
2021-05-30,PE,no_date-date_so,<20
2021-05-30,QC,date,<20
2021-05-30,QC,no_date-date_so,<20
2021-05-30,SK,date,48
2021-05-30,SK,no_date-date_so,<20
2021-05-30,YT,date,<20
2021-05-30,YT,no_date-date_so,<20
2021-05-30,npts-ptso,date,20
2021-05-30,npts-ptso,no_date-date_so,<20
2021-06-06,AB,date,<20
2021-06-06,AB,no_date-date_so,<20
2021-06-06,BC,date,<20
2021-06-06,BC,no_date-date_so,<20
2021-06-06,MB,date,45
2021-06-06,MB,no_date-date_so,<20
2021-06-06,NB,date,<20
2021-06-06,NB,no_date-date_so,<20
2021-06-06,NL,date,<20
2021-06-06,NL,no_date-date_so,<20
2021-06-06,NT,date,<20
2021-06-06,NT,no_date-date_so,<20
2021-06-06,NS,date,<20
2021-06-06,NS,no_date-date_so,<20
2021-06-06,NU,date,<20
2021-06-06,NU,no_date-date_so,<20
2021-06-06,ON,date,88
2021-06-06,ON,no_date-date_so,<20
2021-06-06,PE,date,<20
2021-06-06,PE,no_date-date_so,<20
2021-06-06,QC,date,<20
2021-06-06,QC,no_date-date_so,<20
2021-06-06,SK,date,28
2021-06-06,SK,no_date-date_so,<20
2021-06-06,YT,date,<20
2021-06-06,YT,no_date-date_so,<20
2021-06-06,npts-ptso,date,<20
2021-06-06,npts-ptso,no_date-date_so,<20
2021-06-13,AB,date,<20
2021-06-13,AB,no_date-date_so,<20
2021-06-13,BC,date,<20
2021-06-13,BC,no_date-date_so,<20
2021-06-13,MB,date,25
2021-06-13,MB,no_date-date_so,<20
2021-06-13,NB,date,<20
2021-06-13,NB,no_date-date_so,<20
2021-06-13,NL,date,<20
2021-06-13,NL,no_date-date_so,<20
2021-06-13,NT,date,<20
2021-06-13,NT,no_date-date_so,<20
2021-06-13,NS,date,<20
2021-06-13,NS,no_date-date_so,<20
2021-06-13,NU,date,<20
2021-06-13,NU,no_date-date_so,<20
2021-06-13,ON,date,70
2021-06-13,ON,no_date-date_so,<20
2021-06-13,PE,date,<20
2021-06-13,PE,no_date-date_so,<20
2021-06-13,QC,date,<20
2021-06-13,QC,no_date-date_so,<20
2021-06-13,SK,date,22
2021-06-13,SK,no_date-date_so,<20
2021-06-13,YT,date,<20
2021-06-13,YT,no_date-date_so,<20
2021-06-13,npts-ptso,date,<20
2021-06-13,npts-ptso,no_date-date_so,<20
2021-06-20,AB,date,<20
2021-06-20,AB,no_date-date_so,<20
2021-06-20,BC,date,<20
2021-06-20,BC,no_date-date_so,<20
2021-06-20,MB,date,<20
2021-06-20,MB,no_date-date_so,<20
2021-06-20,NB,date,<20
2021-06-20,NB,no_date-date_so,<20
2021-06-20,NL,date,<20
2021-06-20,NL,no_date-date_so,<20
2021-06-20,NT,date,<20
2021-06-20,NT,no_date-date_so,<20
2021-06-20,NS,date,<20
2021-06-20,NS,no_date-date_so,<20
2021-06-20,NU,date,<20
2021-06-20,NU,no_date-date_so,<20
2021-06-20,ON,date,34
2021-06-20,ON,no_date-date_so,<20
2021-06-20,PE,date,<20
2021-06-20,PE,no_date-date_so,<20
2021-06-20,QC,date,<20
2021-06-20,QC,no_date-date_so,<20
2021-06-20,SK,date,<20
2021-06-20,SK,no_date-date_so,<20
2021-06-20,YT,date,<20
2021-06-20,YT,no_date-date_so,<20
2021-06-20,npts-ptso,date,<20
2021-06-20,npts-ptso,no_date-date_so,<20
2021-06-27,AB,date,<20
2021-06-27,AB,no_date-date_so,<20
2021-06-27,BC,date,<20
2021-06-27,BC,no_date-date_so,<20
2021-06-27,MB,date,<20
2021-06-27,MB,no_date-date_so,<20
2021-06-27,NB,date,<20
2021-06-27,NB,no_date-date_so,<20
2021-06-27,NL,date,<20
2021-06-27,NL,no_date-date_so,<20
2021-06-27,NT,date,<20
2021-06-27,NT,no_date-date_so,<20
2021-06-27,NS,date,<20
2021-06-27,NS,no_date-date_so,<20
2021-06-27,NU,date,<20
2021-06-27,NU,no_date-date_so,<20
2021-06-27,ON,date,25
2021-06-27,ON,no_date-date_so,<20
2021-06-27,PE,date,<20
2021-06-27,PE,no_date-date_so,<20
2021-06-27,QC,date,<20
2021-06-27,QC,no_date-date_so,<20
2021-06-27,SK,date,<20
2021-06-27,SK,no_date-date_so,<20
2021-06-27,YT,date,<20
2021-06-27,YT,no_date-date_so,<20
2021-06-27,npts-ptso,date,<20
2021-06-27,npts-ptso,no_date-date_so,<20
2021-07-04,AB,date,<20
2021-07-04,AB,no_date-date_so,<20
2021-07-04,BC,date,<20
2021-07-04,BC,no_date-date_so,<20
2021-07-04,MB,date,<20
2021-07-04,MB,no_date-date_so,<20
2021-07-04,NB,date,<20
2021-07-04,NB,no_date-date_so,<20
2021-07-04,NL,date,<20
2021-07-04,NL,no_date-date_so,<20
2021-07-04,NT,date,<20
2021-07-04,NT,no_date-date_so,<20
2021-07-04,NS,date,<20
2021-07-04,NS,no_date-date_so,<20
2021-07-04,NU,date,<20
2021-07-04,NU,no_date-date_so,<20
2021-07-04,ON,date,30
2021-07-04,ON,no_date-date_so,<20
2021-07-04,PE,date,<20
2021-07-04,PE,no_date-date_so,<20
2021-07-04,QC,date,<20
2021-07-04,QC,no_date-date_so,<20
2021-07-04,SK,date,<20
2021-07-04,SK,no_date-date_so,<20
2021-07-04,YT,date,<20
2021-07-04,YT,no_date-date_so,<20
2021-07-04,npts-ptso,date,<20
2021-07-04,npts-ptso,no_date-date_so,<20
2021-07-11,AB,date,<20
2021-07-11,AB,no_date-date_so,<20
2021-07-11,BC,date,<20
2021-07-11,BC,no_date-date_so,<20
