date,count-nombre
2020-08-02,1195999
2020-08-09,594535
2020-08-16,243441
2020-08-23,109007
2020-08-30,86440
2020-09-06,106838
2020-09-13,124296
2020-09-20,229423
2020-09-27,257224
2020-10-04,362269
2020-10-11,1005624
2020-10-18,358594
2020-10-25,189254
2020-11-01,147667
2020-11-08,126687
2020-11-15,144128
2020-11-22,158057
2020-11-29,132758
2020-12-06,79096
2020-12-13,61394
2020-12-20,60922
2020-12-27,63660
2021-01-03,70276
2021-01-10,95202
2021-01-17,72510
2021-01-24,43748
2021-01-31,41300
2021-02-07,27959
2021-02-14,98679
2021-02-21,27742
2021-02-28,23296
2021-03-07,20786
2021-03-14,18648
2021-03-21,22472
2021-03-28,22092
2021-04-04,21098
2021-04-11,20139
2021-04-18,17521
2021-04-25,16086
2021-05-02,15946
2021-05-09,13604
2021-05-16,10935
2021-05-23,8876
2021-05-30,9045
2021-06-06,6802
