date,framework_status,notification_permission,count
2021-02-28,enabled,granted,15345
2021-02-28,enabled,blocked,344
2021-02-28,enabled,granted,15345
2021-02-28,enabled,blocked,344
2021-02-28,enabled,denied,<20
2021-02-28,disabled,granted,6182
2021-02-28,disabled,blocked,248
2021-02-28,disabled,granted,6182
2021-02-28,disabled,blocked,248
2021-02-28,disabled,denied,<20
2021-03-07,enabled,granted,27789
2021-03-07,enabled,blocked,645
2021-03-07,enabled,granted,27789
2021-03-07,enabled,blocked,645
2021-03-07,enabled,denied,<20
2021-03-07,disabled,granted,6741
2021-03-07,disabled,blocked,670
2021-03-07,disabled,granted,6741
2021-03-07,disabled,blocked,670
2021-03-07,disabled,denied,<20
2021-03-14,enabled,granted,25992
2021-03-14,enabled,blocked,559
2021-03-14,enabled,granted,25992
2021-03-14,enabled,blocked,559
2021-03-14,enabled,denied,27
2021-03-14,disabled,granted,5273
2021-03-14,disabled,blocked,577
2021-03-14,disabled,granted,5273
2021-03-14,disabled,blocked,577
2021-03-14,disabled,denied,<20
2021-03-21,enabled,granted,28457
2021-03-21,enabled,blocked,606
2021-03-21,enabled,granted,28457
2021-03-21,enabled,blocked,606
2021-03-21,enabled,denied,21
2021-03-21,disabled,granted,5626
2021-03-21,disabled,blocked,589
2021-03-21,disabled,granted,5626
2021-03-21,disabled,blocked,589
2021-03-21,disabled,denied,<20
2021-03-28,enabled,granted,28397
2021-03-28,enabled,blocked,578
2021-03-28,enabled,granted,28397
2021-03-28,enabled,blocked,578
2021-03-28,enabled,denied,<20
2021-03-28,disabled,granted,5719
2021-03-28,disabled,blocked,522
2021-03-28,disabled,granted,5719
2021-03-28,disabled,blocked,522
2021-03-28,disabled,denied,<20
