date,region,count-nombre
2021-02-28,AB,31375
2021-02-28,BC,63293
2021-02-28,MB,55598
2021-02-28,NB,34589
2021-02-28,NL,39069
2021-02-28,NT,1037
2021-02-28,NS,37249
2021-02-28,NU,253
2021-02-28,ON,453128
2021-02-28,PE,6057
2021-02-28,QC,221384
2021-02-28,SK,25610
2021-02-28,YT,342
2021-02-28,npts-ptso,72455
2021-03-07,AB,85006
2021-03-07,BC,170970
2021-03-07,MB,117243
2021-03-07,NB,76044
2021-03-07,NL,114202
2021-03-07,NT,2276
2021-03-07,NS,108846
2021-03-07,NU,586
2021-03-07,ON,1310609
2021-03-07,PE,19069
2021-03-07,QC,650984
2021-03-07,SK,71520
2021-03-07,YT,1018
2021-03-07,npts-ptso,210090
2021-03-14,AB,87835
2021-03-14,BC,176504
2021-03-14,MB,122242
2021-03-14,NB,79702
2021-03-14,NL,118261
2021-03-14,NT,2404
2021-03-14,NS,113290
2021-03-14,NU,621
2021-03-14,ON,1375271
2021-03-14,PE,19712
2021-03-14,QC,683989
2021-03-14,SK,74488
2021-03-14,YT,1064
2021-03-14,npts-ptso,226075
2021-03-21,AB,88106
2021-03-21,BC,177198
2021-03-21,MB,123266
2021-03-21,NB,80292
2021-03-21,NL,118348
2021-03-21,NT,2457
2021-03-21,NS,114433
2021-03-21,NU,636
2021-03-21,ON,1392887
2021-03-21,PE,19728
2021-03-21,QC,688557
2021-03-21,SK,75487
2021-03-21,YT,1083
2021-03-21,npts-ptso,235179
2021-03-28,AB,87918
2021-03-28,BC,177076
2021-03-28,MB,124096
2021-03-28,NB,81158
2021-03-28,NL,118223
2021-03-28,NT,2512
2021-03-28,NS,116057
2021-03-28,NU,649
2021-03-28,ON,1410054
2021-03-28,PE,19922
2021-03-28,QC,692260
2021-03-28,SK,76555
2021-03-28,YT,1095
2021-03-28,npts-ptso,242522
2021-04-04,AB,87815
2021-04-04,BC,177338
2021-04-04,MB,124619
2021-04-04,NB,81776
2021-04-04,NL,118082
2021-04-04,NT,2568
2021-04-04,NS,117004
2021-04-04,NU,668
2021-04-04,ON,1424988
2021-04-04,PE,20017
2021-04-04,QC,695892
2021-04-04,SK,77404
2021-04-04,YT,1099
2021-04-04,npts-ptso,249071
2021-04-11,AB,87890
2021-04-11,BC,177659
2021-04-11,MB,125619
2021-04-11,NB,82340
2021-04-11,NL,118359
2021-04-11,NT,2602
2021-04-11,NS,117724
2021-04-11,NU,685
2021-04-11,ON,1444946
2021-04-11,PE,20090
2021-04-11,QC,699270
2021-04-11,SK,78083
2021-04-11,YT,1102
2021-04-11,npts-ptso,253969
2021-04-18,AB,88036
2021-04-18,BC,178074
2021-04-18,MB,126420
2021-04-18,NB,83426
2021-04-18,NL,119146
2021-04-18,NT,2646
2021-04-18,NS,118353
2021-04-18,NU,722
2021-04-18,ON,1457683
2021-04-18,PE,20202
2021-04-18,QC,701759
2021-04-18,SK,78730
2021-04-18,YT,1110
2021-04-18,npts-ptso,256705
2021-04-25,AB,87766
2021-04-25,BC,177637
2021-04-25,MB,126914
2021-04-25,NB,83489
2021-04-25,NL,118945
2021-04-25,NT,2695
2021-04-25,NS,120955
2021-04-25,NU,792
2021-04-25,ON,1465344
2021-04-25,PE,20236
2021-04-25,QC,698897
2021-04-25,SK,78973
2021-04-25,YT,1109
2021-04-25,npts-ptso,259576
2021-05-02,AB,87351
2021-05-02,BC,176652
2021-05-02,MB,127283
2021-05-02,NB,84035
2021-05-02,NL,118428
2021-05-02,NT,2819
2021-05-02,NS,127263
2021-05-02,NU,808
2021-05-02,ON,1464864
2021-05-02,PE,20251
2021-05-02,QC,693442
2021-05-02,SK,78993
2021-05-02,YT,1106
2021-05-02,npts-ptso,262255
2021-05-09,AB,87045
2021-05-09,BC,175346
2021-05-09,MB,127373
2021-05-09,NB,84295
2021-05-09,NL,118404
2021-05-09,NT,3006
2021-05-09,NS,129906
