date,os-se,app_version-version_appli,count-nombre
2021-02-28,android,1.2.0,7260
2021-02-28,android,1.2.1,4703
2021-02-28,android,1.2.2,35
2021-02-28,android,1.2.3,39
2021-02-28,android,1.2.4,<20
2021-02-28,android,1.2.5,<20
2021-02-28,android,1.2.6,<20
2021-02-28,android,1.2.7,22
2021-02-28,android,1.2.8,21
2021-02-28,android,1.2.9,24
2021-02-28,android,1.4.2,<20
2021-02-28,android,1.4.3,<20
2021-02-28,android,1.4.4,<20
2021-02-28,android,1.4.5,<20
2021-02-28,android,1.4.6,<20
2021-02-28,ios,1.2.0,10244
2021-02-28,ios,1.2.1,8820
2021-02-28,ios,1.2.2,46
2021-02-28,ios,1.2.3,<20
2021-02-28,ios,1.2.4,<20
2021-02-28,ios,1.2.6,<20
2021-02-28,ios,1.2.7,<20
2021-02-28,ios,1.2.8,<20
2021-02-28,ios,1.2.9,<20
2021-02-28,ios,1.4.0,<20
2021-02-28,ios,1.4.4,<20
2021-02-28,ios,1.4.6,<20
2021-03-07,android,1.2.0,987
2021-03-07,android,1.2.1,13382
2021-03-07,android,1.2.2,4610
2021-03-07,android,1.2.3,81
2021-03-07,android,1.2.4,36
2021-03-07,android,1.2.5,<20
2021-03-07,android,1.2.6,25
2021-03-07,android,1.2.7,24
2021-03-07,android,1.2.8,35
2021-03-07,android,1.2.9,<20
2021-03-07,android,1.4.2,<20
2021-03-07,android,1.4.3,<20
2021-03-07,android,1.4.4,<20
2021-03-07,android,1.4.5,<20
2021-03-07,android,1.4.6,<20
2021-03-07,ios,1.2.0,697
2021-03-07,ios,1.2.1,21679
2021-03-07,ios,1.2.2,8522
2021-03-07,ios,1.2.3,<20
2021-03-07,ios,1.2.4,<20
2021-03-07,ios,1.2.6,<20
2021-03-07,ios,1.2.7,<20
2021-03-07,ios,1.2.8,<20
2021-03-07,ios,1.2.9,<20
2021-03-07,ios,1.4.0,<20
2021-03-07,ios,1.4.1,<20
2021-03-07,ios,1.4.4,<20
2021-03-07,ios,1.4.5,<20
2021-03-07,ios,1.4.6,<20
2021-03-14,android,1.2.0,460
2021-03-14,android,1.2.1,513
2021-03-14,android,1.2.2,11172
2021-03-14,android,1.2.3,5322
2021-03-14,android,1.2.4,28
2021-03-14,android,1.2.5,<20
2021-03-14,android,1.2.6,<20
2021-03-14,android,1.2.7,38
2021-03-14,android,1.2.8,<20
2021-03-14,android,1.2.9,22
2021-03-14,android,1.4.2,<20
2021-03-14,android,1.4.3,<20
2021-03-14,android,1.4.4,<20
2021-03-14,android,1.4.5,<20
2021-03-14,android,1.4.6,<20
2021-03-14,ios,1.2.0,371
2021-03-14,ios,1.2.1,393
2021-03-14,ios,1.2.2,19664
2021-03-14,ios,1.2.3,8502
2021-03-14,ios,1.2.4,<20
2021-03-14,ios,1.2.6,<20
2021-03-14,ios,1.2.7,<20
2021-03-14,ios,1.2.8,<20
2021-03-14,ios,1.2.9,<20
2021-03-14,ios,1.4.0,<20
2021-03-14,ios,1.4.1,<20
2021-03-14,ios,1.4.4,<20
2021-03-14,ios,1.4.5,<20
2021-03-14,ios,1.4.6,<20
2021-03-21,android,1.2.0,356
2021-03-21,android,1.2.1,190
2021-03-21,android,1.2.2,479
2021-03-21,android,1.2.3,19130
2021-03-21,android,1.2.4,39
2021-03-21,android,1.2.5,<20
2021-03-21,android,1.2.6,<20
2021-03-21,android,1.2.7,37
2021-03-21,android,1.2.8,37
2021-03-21,android,1.2.9,<20
2021-03-21,android,1.4.2,<20
2021-03-21,android,1.4.3,<20
2021-03-21,android,1.4.4,<20
2021-03-21,android,1.4.5,<20
2021-03-21,android,1.4.6,<20
